LC_LR1_beta_env	LC_LR1_R2_env	LC_LR1_Q	LC_LR1_pQ	LC_LR1_BF
0.088 [0.054, 0.139]	0.112 [0.037, 0.202]	0.059 [-0.002, 0.107]	0.96	24.0
0.087 [0.050, 0.133]	0.112 [0.020, 0.208]	0.073 [0.026, 0.138]	1.00	49.0
0.098 [0.047, 0.142]	0.131 [0.040, 0.241]	0.060 [-0.035, 0.122]	0.93	24.0
0.091 [0.060, 0.137]	0.097 [0.027, 0.162]	0.060 [0.022, 0.103]	1.00	32.3
0.093 [0.044, 0.129]	0.140 [0.054, 0.248]	0.088 [0.044, 0.144]	1.00	32.3
0.131 [0.055, 0.234]	0.166 [0.057, 0.321]	-0.016 [-0.193, 0.125]	0.51	-
0.113 [0.051, 0.181]	0.154 [0.054, 0.295]	0.033 [-0.094, 0.156]	0.77	-
0.114 [0.072, 0.183]	0.169 [0.059, 0.281]	0.041 [-0.102, 0.133]	0.77	-
0.115 [0.074, 0.181]	0.161 [0.073, 0.298]	0.014 [-0.121, 0.124]	0.62	-
0.104 [0.066, 0.160]	0.152 [0.066, 0.285]	0.070 [-0.010, 0.147]	0.96	24.0
