CS_LR2_beta_env	CS_LR2_R2_env	CS_LR2_Q	CS_LR2_pQ	CS_LR2_BF
0.546 [0.203, 0.826]	0.110 [0.049, 0.201]	0.072 [-0.009, 0.146]	0.95	8.1
0.213 [0.111, 0.333]	0.065 [0.030, 0.128]	0.034 [-0.005, 0.079]	0.96	2.8
0.149 [0.074, 0.244]	0.043 [0.008, 0.078]	0.011 [-0.057, 0.054]	0.79	-
0.578 [0.136, 0.800]	0.103 [0.020, 0.160]	0.080 [-0.004, 0.129]	0.98	10.1
0.130 [0.052, 0.219]	0.054 [0.012, 0.103]	0.018 [-0.018, 0.066]	0.78	-
0.627 [0.281, 1.126]	0.112 [0.040, 0.184]	-0.005 [-0.192, 0.130]	0.61	-
0.609 [0.223, 0.939]	0.124 [0.034, 0.231]	0.041 [-0.119, 0.143]	0.77	-
0.456 [0.324, 0.693]	0.122 [0.036, 0.208]	0.032 [-0.154, 0.126]	0.72	-
0.632 [0.339, 1.015]	0.135 [0.032, 0.228]	0.039 [-0.096, 0.191]	0.74	-
0.423 [0.285, 0.691]	0.100 [0.047, 0.167]	0.043 [-0.056, 0.097]	0.87	-
