LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.029 [0.000, 0.122]	0.084 [0.033, 0.145]	0.055 [-0.030, 0.176]	0.85	5.7
0.006 [0.000, 0.020]	0.077 [0.018, 0.129]	0.071 [0.020, 0.127]	1.00	>99
0.027 [0.000, 0.184]	0.087 [0.034, 0.173]	0.060 [-0.088, 0.175]	0.87	6.7
0.007 [0.001, 0.018]	0.075 [0.028, 0.136]	0.067 [0.013, 0.137]	0.99	99.0
0.007 [0.000, 0.016]	0.103 [0.025, 0.183]	0.096 [0.022, 0.183]	1.00	>99
0.121 [0.000, 0.363]	0.134 [0.022, 0.251]	0.013 [-0.289, 0.199]	0.61	1.6
0.089 [0.000, 0.377]	0.114 [0.051, 0.197]	0.025 [-0.281, 0.194]	0.71	2.4
0.085 [0.000, 0.289]	0.131 [0.051, 0.248]	0.046 [-0.177, 0.242]	0.66	1.9
0.060 [0.000, 0.208]	0.111 [0.045, 0.196]	0.051 [-0.121, 0.176]	0.75	3.0
0.036 [0.002, 0.149]	0.108 [0.036, 0.179]	0.072 [-0.074, 0.173]	0.89	8.1
