CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.033 [0.000, 0.166]	0.065 [0.000, 0.217]	0.032 [-0.171, 0.231]	0.73	2.7
0.007 [0.000, 0.018]	0.024 [0.001, 0.051]	0.017 [-0.013, 0.050]	0.89	8.1
0.047 [0.000, 0.236]	0.074 [0.000, 0.304]	0.027 [-0.250, 0.326]	0.71	2.5
0.009 [0.000, 0.023]	0.028 [0.004, 0.060]	0.019 [-0.012, 0.053]	0.92	11.5
0.012 [0.000, 0.031]	0.036 [0.006, 0.079]	0.024 [-0.016, 0.075]	0.89	7.7
0.186 [0.001, 0.432]	0.239 [0.009, 0.482]	0.053 [-0.323, 0.454]	0.61	1.6
0.115 [0.000, 0.329]	0.155 [0.011, 0.383]	0.040 [-0.277, 0.367]	0.62	1.6
0.113 [0.000, 0.335]	0.151 [0.006, 0.377]	0.038 [-0.274, 0.370]	0.63	1.7
0.110 [0.000, 0.310]	0.142 [0.007, 0.346]	0.032 [-0.259, 0.334]	0.61	1.6
0.041 [0.000, 0.170]	0.081 [0.002, 0.242]	0.040 [-0.170, 0.246]	0.77	3.3
