CS_beta_env;CS_R2_env;CS_Q;CS_pQ;CS_BF
15.033 [7.623, 27.501];0.123 [0.034, 0.205];0.096 [0.022, 0.177];0.99;11.5
7.206 [0.821, 11.75];0.049 [0, 0.134];0.047 [-0.001, 0.119];0.98;4.9
9.31 [-1.086, 22.072];0.064 [0, 0.134];0.044 [-0.042, 0.115];0.88;-
9.845 [3.409, 16.614];0.047 [0.003, 0.128];0.047 [0.003, 0.127];0.99;6.7
11.845 [4.114, 24.542];0.119 [0.009, 0.306];0.112 [0.007, 0.268];1;49
28.991 [10.938, 48.06];0.146 [0.071, 0.207];0.023 [-0.081, 0.129];0.6;-
22.298 [10.123, 41.57];0.146 [0.058, 0.218];0.076 [-0.056, 0.156];0.87;-
20.998 [9.414, 33.848];0.152 [0.053, 0.271];0.084 [-0.044, 0.259];0.84;-
22.859 [10.793, 37.36];0.158 [0.096, 0.215];0.082 [-0.023, 0.168];0.88;-
14.743 [7.03, 23.786];0.129 [0.038, 0.214];0.102 [0.007, 0.208];0.98;9
