CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.014 [0.000, 0.089]	0.017 [0.001, 0.070]	0.003 [-0.069, 0.070]	0.67	2.0
0.001 [0.000, 0.003]	0.007 [0.001, 0.019]	0.005 [0.000, 0.022]	0.94	15.7
0.015 [0.000, 0.089]	0.019 [0.000, 0.073]	0.003 [-0.118, 0.115]	0.74	2.8
0.001 [0.000, 0.002]	0.007 [0.000, 0.020]	0.006 [-0.001, 0.020]	0.93	13.3
0.001 [0.000, 0.002]	0.009 [0.000, 0.024]	0.009 [-0.001, 0.023]	0.98	49.0
0.062 [0.000, 0.228]	0.054 [0.002, 0.208]	-0.008 [-0.211, 0.186]	0.56	1.3
0.034 [0.000, 0.126]	0.031 [0.001, 0.116]	-0.003 [-0.187, 0.115]	0.55	1.2
0.044 [0.000, 0.152]	0.039 [0.000, 0.158]	-0.004 [-0.123, 0.182]	0.61	1.6
0.029 [0.000, 0.134]	0.048 [0.000, 0.168]	0.018 [-0.130, 0.186]	0.63	1.7
0.018 [0.000, 0.096]	0.022 [0.000, 0.082]	0.005 [-0.095, 0.121]	0.79	3.8
