CS_beta_env	CS_R2_env	CS_Q	CS_pQ	CS_BF
12.328 [3.511, 21.936]	0.104 [0.003, 0.179]	0.088 [0.003, 0.160]	1.00	10.1
7.418 [2.530, 13.326]	0.043 [0.000, 0.105]	0.041 [-0.004, 0.104]	0.98	4.0
14.641 [3.274, 28.795]	0.102 [0.003, 0.188]	0.073 [-0.031, 0.169]	0.98	3.5
6.828 [0.033, 13.184]	0.034 [0.000, 0.097]	0.032 [-0.005, 0.097]	0.94	3.3
14.666 [6.478, 34.570]	0.106 [0.021, 0.232]	0.092 [-0.002, 0.227]	0.95	8.1
27.556 [14.153, 44.809]	0.133 [0.078, 0.190]	0.007 [-0.073, 0.110]	0.46	-
17.137 [9.030, 25.613]	0.114 [0.062, 0.161]	0.033 [-0.048, 0.131]	0.64	-
19.588 [5.997, 36.166]	0.155 [0.065, 0.270]	0.102 [-0.033, 0.264]	0.90	-
16.794 [7.356, 29.555]	0.130 [0.077, 0.172]	0.075 [-0.031, 0.164]	0.89	-
14.883 [8.194, 26.324]	0.134 [0.051, 0.221]	0.108 [0.031, 0.211]	0.98	15.7
