CS_LR1_beta_env;CS_LR1_R2_env;CS_LR1_Q;CS_LR1_pQ;CS_LR1_BF
1.285 [0.806, 1.82];0.143 [0.06, 0.225];0.073 [0.017, 0.156];0.98;24
1.024 [0.72, 1.393];0.132 [0.063, 0.224];0.065 [0.004, 0.116];1;49
0.89 [0.56, 1.241];0.106 [0.048, 0.175];0.037 [-0.02, 0.093];0.9;-
1.368 [0.807, 1.965];0.136 [0.06, 0.217];0.083 [0.007, 0.136];1;19
0.891 [0.61, 1.21];0.139 [0.066, 0.214];0.065 [0.005, 0.127];0.99;9
1.539 [0.867, 2.403];0.143 [0.056, 0.219];0.007 [-0.149, 0.129];0.6;-
1.472 [0.827, 2.047];0.16 [0.059, 0.259];0.047 [-0.086, 0.134];0.83;-
1.393 [0.955, 1.988];0.18 [0.107, 0.308];0.054 [-0.097, 0.187];0.8;-
1.525 [1.009, 2.195];0.169 [0.073, 0.278];0.043 [-0.036, 0.172];0.77;-
1.31 [0.827, 1.753];0.157 [0.092, 0.225];0.062 [-0.03, 0.119];0.89;-
