CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.014 [0, 0.068];0.015 [0, 0.061];0.001 [-0.079, 0.067];0.65;1.9
0.001 [0, 0.003];0.008 [0, 0.018];0.006 [-0.004, 0.023];0.93;13.3
0.016 [0, 0.091];0.015 [0, 0.058];-0.001 [-0.13, 0.062];0.73;2.7
0.001 [0, 0.002];0.007 [0, 0.017];0.007 [-0.002, 0.017];0.95;19.9
0 [0, 0.002];0.009 [0, 0.023];0.008 [-0.001, 0.023];0.97;32.3
0.06 [0, 0.194];0.059 [0, 0.187];0 [-0.173, 0.204];0.53;1.1
0.036 [0, 0.14];0.038 [0, 0.138];0.002 [-0.158, 0.144];0.56;1.3
0.032 [0, 0.138];0.037 [0.001, 0.133];0.005 [-0.125, 0.149];0.64;1.8
0.03 [0, 0.118];0.039 [0, 0.139];0.009 [-0.136, 0.142];0.63;1.7
0.012 [0, 0.061];0.022 [0.001, 0.078];0.01 [-0.058, 0.09];0.79;3.7
