CS_LR2_beta_env;CS_LR2_R2_env;CS_LR2_Q;CS_LR2_pQ;CS_LR2_BF
0.472 [0.299, 0.699];0.104 [0.05, 0.173];0.07 [-0.009, 0.144];0.95;13.3
0.406 [0.211, 0.608];0.084 [0.025, 0.145];0.065 [0.019, 0.126];0.99;6.1
0.509 [0.262, 0.839];0.106 [0.023, 0.184];0.057 [-0.009, 0.138];0.92;6.1
0.415 [0.224, 0.58];0.1 [0.038, 0.16];0.073 [0.025, 0.126];0.99;7.3
0.476 [0.231, 0.729];0.111 [0.04, 0.188];0.072 [-0.007, 0.17];0.95;4.6
0.426 [0.195, 0.732];0.082 [0.02, 0.17];-0.043 [-0.212, 0.098];0.33;-
0.147 [0.079, 0.224];0.044 [0.017, 0.084];-0.047 [-0.155, 0.04];0.24;-
0.497 [0.184, 0.759];0.119 [0.039, 0.194];0.06 [-0.088, 0.142];0.84;-
0.408 [0.232, 0.738];0.105 [0.016, 0.189];0.032 [-0.1, 0.127];0.81;-
0.572 [0.322, 0.861];0.14 [0.046, 0.235];0.081 [0, 0.137];0.98;9
