CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.015 [0.000, 0.068]	0.012 [0.000, 0.036]	-0.003 [-0.067, 0.061]	0.62	1.6
0.000 [0.000, 0.002]	0.007 [0.000, 0.018]	0.007 [-0.001, 0.019]	0.95	19.5
0.029 [0.000, 0.114]	0.021 [0.000, 0.084]	-0.007 [-0.131, 0.071]	0.57	1.3
0.001 [0.000, 0.002]	0.007 [0.000, 0.017]	0.006 [-0.001, 0.018]	0.95	18.6
0.000 [0.000, 0.002]	0.009 [0.000, 0.023]	0.008 [-0.001, 0.024]	0.97	29.0
0.058 [0.000, 0.168]	0.074 [0.000, 0.192]	0.017 [-0.151, 0.213]	0.60	1.5
0.042 [0.000, 0.149]	0.016 [0.000, 0.054]	-0.026 [-0.184, 0.048]	0.43	0.8
0.047 [0.000, 0.144]	0.032 [0.000, 0.120]	-0.016 [-0.163, 0.077]	0.41	0.7
0.027 [0.000, 0.122]	0.041 [0.000, 0.147]	0.014 [-0.110, 0.156]	0.66	1.9
0.010 [0.000, 0.072]	0.021 [0.000, 0.061]	0.010 [-0.087, 0.078]	0.83	4.8
