LC_beta_env;LC_R2_env;LC_Q;LC_pQ;LC_BF
6.756;0.115;0.076;0.95;10.1
5.788;0.081;0.061;1;19
7.362;0.102;0.053;0.83;-
6.194;0.074;0.055;0.99;10.1
8.266;0.128;0.085;0.93;24
13.628;0.122;-0.029;0.24;-
10.492;0.121;0.012;0.47;-
9.662;0.144;0.068;0.74;-
9.637;0.146;0.06;0.73;-
7.762;0.138;0.083;0.95;13.3
