LC_LR2_beta_env	LC_LR2_R2_env	LC_LR2_Q	LC_LR2_pQ	LC_LR2_BF
0.003 [0.001, 0.004]	0.060 [0.007, 0.129]	0.045 [-0.028, 0.099]	0.95	9.0
0.003 [0.001, 0.004]	0.064 [0.015, 0.136]	0.055 [0.008, 0.105]	1.00	24.0
0.003 [0.001, 0.005]	0.080 [0.006, 0.187]	0.034 [-0.078, 0.101]	0.88	-
0.003 [0.001, 0.005]	0.062 [0.014, 0.140]	0.051 [0.005, 0.097]	1.00	32.3
0.003 [0.001, 0.005]	0.087 [0.009, 0.158]	0.051 [-0.143, 0.137]	0.93	19.0
0.005 [0.001, 0.010]	0.122 [0.001, 0.261]	-0.072 [-0.315, 0.116]	0.33	-
0.004 [0.001, 0.007]	0.112 [0.012, 0.268]	-0.026 [-0.254, 0.111]	0.55	-
0.004 [0.002, 0.007]	0.106 [0.027, 0.212]	0.029 [-0.132, 0.188]	0.80	-
0.004 [0.002, 0.007]	0.098 [0.022, 0.225]	0.018 [-0.166, 0.123]	0.78	-
0.003 [0.001, 0.006]	0.093 [0.006, 0.179]	0.055 [-0.025, 0.129]	0.90	-
