collection_date	latitude	longitude
14	1982.33333333333	39.5525729080842	-78.8616243415877
13	1982.66666666667	39.0630641636153	-78.8485912423156
25	1984	37.9657172535338	-80.2129902345748
16	1984.41666666667	37.7780473543293	-77.9667768611287
30	1985.33333333333	37.4961430724566	-79.9231833505734
29	1985.66666666667	39.2574945602661	-76.2400689008785
43	1986	36.6530547496595	-79.4227478163131
45	1986.41666666667	37.1812094464826	-78.9720306290521
34	1986.5	39.4356706829862	-78.1184249609613
32	1986.66666666667	37.9520967855384	-79.278421599995
46	1987.5	37.6270231332707	-79.8781262971495
50	1988.5	39.6034144661805	-78.5616714217282
61	1988.58333333333	40.1760104108687	-78.3515532819288
78	1988.66666666667	37.3210134550135	-79.1934632361681
57	1988.75	37.7660668737093	-79.3322005189568
65	1989.25	38.0462541385847	-79.6321348117103
73	1989.58333333333	39.697044705054	-76.7419801319463
88	1989.83333333333	40.2338405760232	-78.1200272106309
69	1990	37.5624515848121	-79.908189277347
64	1990.41666666667	38.1930571254652	-78.5616744730793
86	1990.5	37.7231856689933	-79.5159219221478
103	1991.08333333333	36.9234667289976	-79.7260206624464
68	1991.5	37.4332377986142	-79.9393397812905
107	1991.5	36.9089318323555	-79.6318835740324
119	1991.66666666667	36.8883715756015	-79.5452605302837
92	1991.75	37.8238205027133	-78.5556714080067
83	1992.16666666667	36.5878465277099	-80.0502049671526
31	1992.33333333333	36.4705174528708	-80.9355279579454
127	1992.33333333333	37.8238204989753	-78.5556714209983
129	1992.58333333333	39.6998626047255	-79.5958085225464
93	1992.75	36.6298616253899	-79.2378654207703
133	1992.75	38.1700886649037	-79.5660048380257
105	1993.16666666667	39.4463463123144	-79.3857018854282
143	1993.33333333333	39.556734804863	-76.0641986807567
148	1993.33333333333	37.2559431609528	-78.8022541068646
109	1993.5	37.6251406892909	-78.7983454626346
95	1993.58333333333	38.3267967182301	-79.421260367202
113	1993.58333333333	37.0766710906486	-79.863538301312
121	1993.58333333333	37.4883543189577	-78.921552567216
161	1994.41666666667	39.5567348047887	-76.0641986734147
153	1994.5	38.1112576256647	-79.7077129031054
165	1994.58333333333	36.5523348236376	-77.3442848046365
169	1994.58333333333	40.0273796572489	-78.7410393981186
82	1994.66666666667	39.6473917464944	-78.7194399988946
136	1994.75	38.9543380805776	-78.3332375567017
123	1995	35.1814703615578	-79.9213699661089
149	1995	37.4609446770084	-77.6033907890101
152	1995.25	37.937955977217	-80.237338843931
75	1995.33333333333	39.102997518616	-79.3578557980621
160	1995.58333333333	38.8814272078606	-76.2615201335302
172	1995.83333333333	35.165772596441	-77.3550803592916
110	1996.08333333333	40.3091695948317	-80.1584393443443
141	1996.16666666667	35.9076128570323	-78.5842989624637
138	1996.25	39.0167107920557	-78.583979414768
147	1996.25	34.9287603879426	-77.3981246526518
171	1996.25	37.7399974414712	-79.7188388446662
176	1996.25	39.9327936999974	-78.5241193485133
157	1996.41666666667	34.1406779377715	-79.2814464769918
167	1996.58333333333	38.1522792357059	-79.6465550457758
186	1996.58333333333	35.9379325361715	-78.1389620283354
188	1996.58333333333	34.386477405269	-78.6184453812651
192	1996.75	37.6855735507262	-79.4135520210944
170	1997	42.220824188255	-83.0807097485984
194	1997	37.1086654725314	-80.0225635908934
137	1997.16666666667	37.4567089125075	-79.8765928372589
211	1997.33333333333	36.600702975435	-78.7973764706332
166	1997.41666666667	37.6154738961789	-79.9553814885141
199	1997.58333333333	37.1967440134338	-79.5988400376448
139	1997.66666666667	37.4450414024172	-79.7798721908502
184	1997.75	34.1930117036057	-79.383604762954
191	1997.75	40.2979066364853	-78.5579001921069
207	1997.75	37.1818636385497	-79.7006500551274
196	1997.83333333333	39.7710233624283	-78.8516383709807
183	1998.33333333333	37.7409836635412	-77.5359142204289
187	1998.33333333333	34.9396376052462	-77.9373790589742
212	1998.41666666667	34.1597494884719	-78.725211119793
220	1998.41666666667	40.7888583712311	-80.3822623304464
209	1998.58333333333	36.6436928114274	-78.4524505923098
197	1998.83333333333	39.8841727962033	-79.3937551153045
222	1998.83333333333	40.2528079789	-77.8636626731872
203	1998.91666666667	36.6977109761222	-75.759229079309
205	1998.91666666667	37.3667051094275	-79.7817828532825
216	1998.91666666667	34.4582768724951	-78.8595887419207
228	1999.25	36.2615149636787	-78.671340579622
182	1999.41666666667	36.6254553817547	-77.6961505464349
224	1999.41666666667	40.8075590005169	-80.3587318914862
151	1999.5	35.1846299743124	-77.0910755479967
236	1999.5	36.3510041897053	-79.238423324439
239	1999.5	34.1671717078083	-79.7815682479743
208	1999.58333333333	35.5991523111913	-77.4682379918108
218	1999.58333333333	37.1563518353487	-75.625453622936
193	1999.75	37.8066721879118	-80.0812010558934
217	1999.83333333333	34.1072668485532	-79.3305116676944
214	1999.91666666667	37.653524042272	-79.8477635164175
246	2000.25	37.5081204653653	-75.9098449789776
241	2000.33333333333	34.9018467208635	-79.5961186395364
242	2000.33333333333	39.4172413396689	-77.7412248043258
253	2000.58333333333	35.7126424576683	-79.6976243491736
91	2000.66666666667	34.1406781436599	-79.2814464106938
226	2000.66666666667	37.4519292379157	-75.8145343751914
159	2000.83333333333	40.1683617393316	-78.5936007190729
215	2000.83333333333	37.3540220838326	-78.5649717800236
249	2000.91666666667	36.9920971358779	-76.335511977751
234	2001	41.1869441095378	-80.8557825026258
201	2001.08333333333	36.1213113890962	-76.2776906078533
251	2001.16666666667	34.3771675108772	-80.1375766584127
126	2001.33333333333	36.6977108200986	-75.7592285617282
206	2001.66666666667	36.312051969268	-79.8930233552789
232	2002.08333333333	40.5043915886684	-80.3702498608793
250	2002.08333333333	34.6194823753802	-80.2070518194322
235	2002.33333333333	40.9268949201212	-80.6734399192245
238	2002.5	34.5927236542796	-77.9546208112069
260	2002.5	34.2575748057993	-79.7097906617415
248	2002.83333333333	37.4528156487063	-77.4830667499694
237	2003	36.3971610146705	-76.3928394395331
257	2003	36.6274962780393	-80.3046086784426
271	2003.08333333333	36.4261995214408	-80.6946181611602
262	2003.25	34.7033261638349	-80.0684129407825
219	2003.75	36.5984366780152	-76.1950132123328
240	2003.75	34.9018468397766	-79.5961190403159
276	2003.75	36.4048445883827	-80.6715559795805
245	2003.83333333333	39.3617461342425	-79.1098372388626
266	2003.91666666667	37.8905978153676	-79.9150242237497
281	2004	34.4156040759205	-80.1574099462567
269	2004	38.0766080149894	-79.5834979164233
264	2004.08333333333	34.6194825080886	-80.2070520518275
275	2004.08333333333	36.5484788008366	-80.5290898294016
254	2004.16666666667	39.3806002151548	-76.6507155822701
285	2004.5	36.9234668235104	-79.7260212967208
223	2004.5	39.9305273261268	-77.1828250457768
261	2004.7	35.486060093885	-79.4508031826046
