collection_date	latitude	longitude
20	1983.16666666667	38.6424653901012	-79.5300829061808
11	1983.25	37.3641457338216	-78.7682511728316
33	1983.66666666667	38.6511565134485	-80.5686329777694
40	1983.75	37.4600869136956	-77.690574199095
29	1983.91666666667	39.6676006485171	-79.7784319987577
34	1984	37.7089704605112	-77.9329912819142
42	1984	38.2685315617604	-80.5468223548531
17	1984.58333333333	38.9096934545021	-79.3528223202649
46	1985.25	38.87292202725	-77.9742815605636
26	1985.66666666667	37.8755736359391	-80.0082712721627
50	1986.5	38.8039799953197	-79.0925642422405
45	1987.16666666667	38.8349922952263	-80.1019771845744
24	1987.25	40.5296148091203	-78.381301699574
49	1987.33333333333	38.3877975191143	-79.6739363992255
62	1987.5	38.7493539660705	-80.5481351489306
67	1987.5	39.5631336917599	-78.6656382469707
23	1987.66666666667	38.3651340368914	-80.5259773928
63	1988.08333333333	39.1986757654807	-80.2638610453375
55	1988.16666666667	38.5383593201465	-80.3778016474094
65	1988.41666666667	39.0543939441559	-78.4438093120212
69	1988.41666666667	38.3922185608965	-80.714095632122
77	1988.41666666667	36.3507770543699	-76.6878457245432
58	1988.5	38.3984723193166	-80.1925526053314
91	1989.83333333333	38.2283663453935	-80.4709137955684
59	1990	38.406549265547	-80.1052595109782
75	1990	39.5545030736359	-79.9844411191157
79	1990.16666666667	39.8580384432363	-79.4372942275414
80	1990.33333333333	36.7469336995993	-77.4588238095455
90	1990.33333333333	38.3651341258642	-80.5259775064004
14	1990.41666666667	38.0061315783826	-80.1573295045072
48	1990.41666666667	38.5898477971858	-80.6667868459749
84	1990.58333333333	38.5347771600796	-80.586691022959
70	1990.75	39.2794350262306	-80.1775834200119
98	1990.91666666667	36.5523069274786	-77.0471966569563
95	1991.25	38.4459673063013	-80.6189665711772
104	1991.41666666667	36.7963437497372	-76.7815032929289
96	1991.5	36.4271278370159	-77.0101453178557
82	1991.83333333333	36.9696577536537	-78.0328475852013
92	1992.16666666667	37.2619588294936	-76.9742168036743
114	1992.41666666667	39.9524617911013	-78.6671150648061
39	1992.75	38.3922188758133	-80.714096204064
112	1992.83333333333	37.0160133133131	-77.9939432728482
119	1993.16666666667	39.4587961484923	-78.4073042801361
81	1993.41666666667	41.0417303005229	-78.2471136707613
117	1993.41666666667	37.0660585779566	-77.4164371748149
129	1993.41666666667	37.5076192449149	-77.1863475004662
108	1994.58333333333	40.9411098237147	-78.9677239602429
74	1994.75	39.6676011923852	-79.7784331978029
123	1995.25	40.4681513505007	-79.416829783239
73	1995.83333333333	38.0753665616673	-80.499637745927
141	1995.83333333333	40.6921725523438	-79.2523651225627
142	1995.83333333333	41.1633817823899	-78.5475419914464
127	1996	40.8245035131086	-79.2420831022004
139	1996	37.2256261442689	-77.5678306075365
132	1996.25	37.2106489368125	-78.5612482663366
146	1996.33333333333	38.4459671149657	-80.6189669802335
156	1996.5	41.1614511757714	-78.7257543657815
144	1996.66666666667	37.4285848901568	-78.8381670066821
145	1996.75	37.7192986991071	-79.4332507214352
151	1996.75	38.1169084579431	-80.3967120885297
148	1996.91666666667	41.0433473691751	-78.5717626430452
153	1997.08333333333	40.9587718062731	-78.7861926490522
147	1997.41666666667	38.1998829970688	-80.6583123283467
155	1997.66666666667	38.0753663989719	-80.4996378295881
160	1997.75	38.8039802693946	-79.0925634898631
175	1998	37.1939415613633	-77.8831341652244
169	1998	38.1169084076586	-80.3967120921412
165	1998.16666666667	38.5898473221963	-80.6667855895337
138	1998.5	37.2106489524168	-78.5612482643792
172	1998.66666666667	40.4254053856132	-79.1950356918335
177	1999.25	38.8657070901508	-80.446860660413
162	1999.41666666667	37.205985839339	-77.2817914236191
195	1999.58333333333	40.7926061386746	-78.8444919442192
199	1999.66666666667	38.0684100822382	-80.5084142760075
207	1999.91666666667	38.2685314825219	-80.5468230853477
110	2000	40.171207367381	-78.5465449514756
182	2000.08333333333	38.7385475080662	-80.3563269871193
200	2000.08333333333	39.6486799170304	-79.5018472385072
214	2000.58333333333	41.4047435524816	-78.5663861963745
196	2000.66666666667	41.0786897571911	-78.7475767402219
224	2000.75	38.116908296771	-80.3967120974977
216	2001	37.4285847801836	-78.8381670101794
217	2001.25	37.7380299759247	-78.8563199406058
208	2001.33333333333	38.0875056024232	-80.4385452586852
188	2001.41666666667	41.2437223528944	-78.5402966146142
203	2001.41666666667	41.3693663996029	-78.3986598210678
210	2001.41666666667	41.2498442241221	-78.6328332451759
189	2001.58333333333	40.6964791266066	-78.6637216513413
233	2002	41.2047138037578	-78.4360851282904
226	2002.08333333333	40.7947471321318	-78.337031993938
239	2002.16666666667	40.0552144225407	-79.3592194609503
173	2002.33333333333	40.8870315739984	-78.527915576158
228	2002.5	38.1998829193053	-80.6583123904475
237	2002.75	37.4302054739205	-78.9251934460603
219	2002.83333333333	39.0028412551597	-80.4045380391563
209	2002.91666666667	37.875573306198	-80.0082720020228
234	2002.91666666667	41.2378456940208	-78.4773169681894
225	2002.91666666667	38.1998829126499	-80.6583123937483
221	2003.08333333333	38.4459662958127	-80.6189675478716
150	2003.25	38.0288441520354	-79.5693073117098
240	2003.25	41.1614510506823	-78.7257547380016
201	2003.33333333333	40.0025890598061	-79.0893157399701
232	2003.33333333333	41.274191105031	-78.6636171884751
215	2003.41666666667	41.3127575453218	-78.367430399723
202	2003.5	41.3830130542669	-78.482655438949
244	2003.5	40.5255882769138	-79.0512388074936
250	2003.5	40.9954797990238	-79.0144187202864
254	2003.75	40.9587716520423	-78.7861929639896
230	2004.16666666667	40.4874860219045	-79.3047466378995
