# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Fri Jan 03 23:23:57 CET 2025 [seed=1735943036756]
# TreeSimulations_4_MDS_CS_null_raster.xml
state	joint	prior	likelihood	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.squareddistTime4.correlation	location.squareddistTime4.Rsquared	location.squareddistTime4.spearman	location.diffusionRate1	location.traitLikelihood1
0	-519.9965738655056	-297.5615833034179	-222.4349905620878	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	0.5401350634038575	0.2917458867182892	0.6739453113611258	15.555674462113654	-222.4349905620878
100000	-428.92444254624877	-256.7545607699387	-172.16988177631006	0.08050739958226028	-0.009641054392376261	-0.009641054392376261	0.13566411056305683	0.09225165105894029	12.527834961388164	0.8902983831181855	0.8902983831181854	7.434415859515744	0.28678812661504754	0.08224742956736854	0.4875232026641355	14.955706364230405	-172.16988177631006
200000	-369.50793255347594	-209.41392770304893	-160.094004850427	0.16123957873855735	0.011387731228337677	0.011387731228337677	0.13449659133468184	-0.07732959615646291	6.239261155568012	-0.5282738275962134	-0.5282738275962133	7.479861239458904	0.23493253620658633	0.055193296568459	0.469616738960715	14.311565370644903	-160.094004850427
300000	-322.85266948843184	-175.7240838228691	-147.12858566556275	0.20021550438312827	0.025643735168840737	0.025643735168840737	0.2547773647369838	-0.11354081564559788	5.059847295950176	-0.509281443373396	-0.5092814433733959	3.9762554240487256	0.20554075861329438	0.04224700345132855	0.433899051808755	14.39541214270381	-147.12858566556275
400000	-304.5086203523704	-152.22527159361442	-152.28334875875595	0.26345316227295623	0.06033946287816933	0.06033946287816933	0.29337951447939303	-0.21703753047158347	3.983379353482707	-0.8192629640677196	-0.8192629640677196	3.5770523687383613	0.27158581481520966	0.07375885480884135	0.3958184992856981	14.263368623914925	-152.28334875875595
500000	-325.902737263484	-172.87759193921764	-153.0251453242664	0.3079034269854453	0.01073289411790512	0.01073289411790512	0.25939790809232577	-0.03797749794867373	3.25246257685798	-0.13457447177037699	-0.134574471770377	3.860649381952791	0.12088822599793714	0.014613963184928325	0.4397456372512496	13.625921293076864	-153.0251453242664
600000	-323.2721623899719	-152.55176324183654	-170.72039914813539	0.27016077037954783	-0.02442941165285515	-0.02442941165285515	0.3042656527720955	0.08520702456262251	3.7285699628220557	0.2993659312787358	0.2993659312787358	3.3106376759671847	0.2141340521358536	0.04585339228412047	0.45283112995759545	14.47344603460875	-170.72039914813539
700000	-313.7019390076265	-166.3440537973942	-147.35788521023233	0.20598662974608192	0.012172285338241617	0.012172285338241617	0.21855938564227811	-0.05736775804252313	4.87071383097389	-0.2712659462200901	-0.2712659462200901	4.590523182299156	0.2187539903674735	0.04785330830169269	0.4202557233238201	14.33590158669558	-147.35788521023233
800000	-335.2850143794851	-175.03088562398912	-160.254128755496	0.1879660062250172	-0.021919687287922273	-0.021919687287922273	0.2774406685868397	0.09598638504075396	5.3695829487023605	0.4242333314060444	0.4242333314060445	3.637891543090845	0.15614311031043257	0.024380670897415913	0.4224909537955185	14.836113282387771	-160.254128755496
900000	-359.87859931226717	-198.1779084927584	-161.70069081950876	0.1858978783269141	-0.030775638308920154	-0.030775638308920154	0.16417151714012104	0.17616553492914216	5.551587139148467	1.0407020706829537	1.0407020706829537	6.286280887773258	0.19395754134197787	0.03761952784342506	0.4373147431266663	14.485695873727195	-161.70069081950876
1000000	-308.39263519434337	-149.76675442776434	-158.62588076657903	0.21207519341216496	-0.02794652763438871	-0.02794652763438871	0.2913382519567658	0.11243050552646439	4.775676179556315	0.458105193631313	0.45810519363131297	3.476379921451485	0.22451342755948175	0.05040627915450666	0.4103351873868212	14.27559830669979	-158.62588076657903
1100000	-310.9674937462356	-154.22125789024176	-156.74623585599383	0.21638794200549924	-0.001010317935661791	-0.001010317935661791	0.28611919947371267	0.004060392659587927	4.62140578533232	0.0163186852244824	0.0163186852244824	3.495104449123994	0.2269959221841012	0.051527148688210525	0.4867016744791751	14.214349211727603	-156.74623585599383
1200000	-328.900263935638	-179.96091424382385	-148.93934969181413	0.24732154238219997	-0.051506478323142285	-0.051506478323142285	0.2781446061060122	0.19637923431682072	4.205503870097834	0.7787700684029296	0.7787700684029297	3.7394638645283624	0.19676027094157494	0.03871460422100198	0.4366078919832973	13.152285319721129	-148.93934969181413
1300000	-362.21368345058704	-188.94726133114247	-173.2664221194446	0.15432864169452898	0.04671052949605909	0.04671052949605909	0.20853509155468003	-0.2603765989512765	6.950923224971385	-1.5569624368939043	-1.5569624368939043	5.144105636300109	0.20348105010776127	0.04140453775295725	0.3269701612929351	14.699619099865581	-173.2664221194446
1400000	-328.87999559343007	-172.61686508788782	-156.26313050554225	0.17719570610401783	-0.011303281735376071	-0.011303281735376071	0.23114193763248733	0.05585198091604393	5.661137209289426	0.276840410159412	0.2768404101594121	4.339884035872068	0.2169191027827548	0.04705389715207534	0.4357747017263106	14.718577184716933	-156.26313050554225
1500000	-366.77976300351895	-194.37250107952914	-172.40726192398978	0.10715836094773247	-0.040700733985352545	-0.040700733985352545	0.14034451343835705	0.3318879545598207	10.487137080445153	3.0413314074197957	3.041331407419796	8.007327062830186	0.24029132074661708	0.057739918826153605	0.4715208961654459	14.705667247748929	-172.40726192398978
1600000	-387.8387459271934	-228.97168894325966	-158.86705698393374	0.17278257346216808	0.03503467637482948	0.03503467637482948	0.1779023021590037	-0.19982846714439692	6.028340896967318	-1.1871739142174462	-1.1871739142174462	5.854855396723894	0.30658196703170365	0.09399250250902863	0.49081838590444227	14.325479513074447	-158.86705698393374
1700000	-384.0340587782124	-222.18267379629992	-161.85138498191247	0.1432440822348705	0.05066079398485615	0.05066079398485615	0.20421751434148563	-0.29620143246534036	7.65248408621198	-1.898372531925486	-1.898372531925486	5.367674086530126	0.21559971651106727	0.046483237759652574	0.4938071158076147	14.480600785609699	-161.85138498191247
1800000	-400.40945784822674	-227.10798440481815	-173.30147344340858	0.14464608011594865	-0.022756438418609727	-0.022756438418609727	0.1410115628054629	0.15933955312441653	7.0935243507805	1.1447525780715009	1.1447525780715009	7.276357137910388	0.22718618884770528	0.051613564403145205	0.42475080419705014	15.0928461796745	-173.30147344340858
1900000	-360.74330198745025	-196.64138545737555	-164.1019165300747	0.1188132583916433	-0.02356015322409888	-0.02356015322409888	0.16068673539551898	0.1705122729612196	8.66860386801594	1.2710049455343355	1.2710049455343355	6.409645878548966	0.2602473624658851	0.06772868967044977	0.47137382447933707	15.055893129006332	-164.1019165300747
2000000	-346.2688838737106	-202.82284716132654	-143.44603671238406	0.16344397895354487	0.0031167627173271754	0.0031167627173271754	0.2050801792394188	-0.017023836234857787	6.1200779705639965	-0.09301157682098818	-0.09301157682098818	4.877555201700585	0.22978034223026736	0.05279900567545879	0.4810552879397978	14.66370247131686	-143.44603671238406
2100000	-350.4780580458455	-189.48262733975824	-160.99543070608723	0.1643496319830256	-0.05893798616682968	-0.05893798616682968	0.231527536927926	0.30214095579341926	6.695847500470783	1.7045046675411162	1.7045046675411164	4.753041850306582	0.2428093137914377	0.05895636286386886	0.47232493124236696	14.67399608368404	-160.99543070608723
2200000	-343.6021088717182	-184.8420768702461	-158.76003200147213	0.20992177019169958	0.0010095642875106925	0.0010095642875106925	0.2065233475050161	-0.004848648055023253	4.763791335350541	-0.02328721504577572	-0.02328721504577572	4.842181390248756	0.1992537944373928	0.03970207459769878	0.4241353059512202	13.98219879122813	-158.76003200147213
2300000	-356.32660384567873	-199.57885513863886	-156.74774870703985	0.20963354571222417	-0.004552022436465738	-0.004552022436465738	0.15690969119321543	0.025098578208925214	4.7732357543316954	0.13847376846534654	0.1384737684653465	6.3771098400082895	0.22873450538010093	0.05231947395147942	0.42297039453437557	13.998052071185013	-156.74774870703985
2400000	-305.7577362444081	-154.9697313883034	-150.78800485610466	0.2500540663927349	-0.016500608989025316	-0.016500608989025316	0.3430947183311162	0.056334701318280264	4.0118671807172435	0.19294453726049943	0.19294453726049943	2.9239263934041224	0.18240719327283006	0.03327238415767158	0.4177781809111317	14.453132077210606	-150.78800485610466
2500000	-372.45751654733874	-215.58741656605872	-156.87009998128002	0.14092787852974267	-0.025378364413245407	-0.025378364413245407	0.20512701337580408	0.1492635421819128	7.257522838432614	0.8979025058672239	0.8979025058672239	4.986117041189799	0.27172684550648946	0.07383547856890758	0.4331533270919652	14.540630621439918	-156.87009998128002
2600000	-405.55038412805936	-245.4506022908858	-160.09978183717357	0.13482366026628106	-0.03129377284583284	-0.03129377284583284	0.20044710483230002	0.19035968397950906	7.695973284256529	1.2014942295455577	1.2014942295455577	5.176424415623583	0.22451551892219154	0.05040721823690095	0.3729815706867341	14.662236508359593	-160.09978183717357
2700000	-320.90647850676726	-170.86486612107007	-150.04161238569716	0.20085982494616608	0.02383273470356283	0.02383273470356283	0.26845297131394336	-0.10263446695290862	5.03159841460303	-0.44669555923768955	-0.44669555923768955	3.7647040068506734	0.33540065103804245	0.11249359671674272	0.5004344121829779	14.077036794428587	-150.04161238569716
2800000	-371.89177111446406	-212.9127896393262	-158.97898147513789	0.17260553936732556	-0.014882882853050344	-0.014882882853050344	0.16651711015781698	0.08778701176534984	5.838551969087004	0.5218351730042267	0.5218351730042268	6.0520291926355805	0.25156151702923973	0.06328319685005247	0.49497332301024	14.317185693245113	-158.97898147513789
2900000	-291.24794237742844	-139.030176361998	-152.21776601543044	0.2862160819302683	-0.06147707677273566	-0.06147707677273566	0.3926536752551969	0.18338396525872194	3.61545020202858	0.5660645083575386	0.5660645083575386	2.635401261852626	0.22803818182348226	0.052001412369359554	0.43240501080361393	14.204123344756663	-152.21776601543044
3000000	-340.0965180037716	-196.87699329552643	-143.21952470824516	0.1945531554489889	0.044896511417686184	0.044896511417686184	0.26732270393625374	-0.19686818359218786	5.34722634264152	-0.8980599291057797	-0.8980599291057796	3.8916251502114863	0.31259770135722603	0.09771732289382147	0.509668829549099	14.593833377107622	-143.21952470824516
3100000	-323.880635360081	-175.61366037198636	-148.26697498809463	0.2728987957338837	-0.025270090544804485	-0.025270090544804485	0.26299858922225006	0.09432553540880387	3.6972577201527357	0.35524919594448046	0.35524919594448046	3.836435709907318	0.1724870453597616	0.02975178081694045	0.388178546322722	13.93213562912654	-148.26697498809463
3200000	-344.96275449729706	-190.393954459803	-154.56880003749404	0.15666567928088057	0.01729979018155653	0.01729979018155653	0.25279365076703875	-0.08693022863928325	6.431621847934656	-0.4401443950778693	-0.44014439507786934	3.9859165870150726	0.256799946760245	0.06594621265606465	0.3631167535383051	13.944033499413212	-154.56880003749404
3300000	-330.1471972934283	-184.19828320555294	-145.94891408787535	0.28847463685719066	0.06561298467235713	0.06561298467235713	0.26084417208342675	-0.2391913154341328	3.6768722606598074	-0.9248838544252658	-0.9248838544252657	4.066352649139782	0.2770041201025934	0.076731282553812	0.4791180881976591	13.258110985474632	-145.94891408787535
3400000	-333.784991392155	-174.06695880078698	-159.71803259136803	0.18455796275543485	-0.01454161043301658	-0.01454161043301658	0.21236075909358648	0.07345290517352028	5.447744338706772	0.3730396154650866	0.3730396154650867	4.734512162489913	0.15201591663478814	0.023108838910314858	0.38641886923253843	15.258653738699156	-159.71803259136803
3500000	-316.7995127260781	-154.33764399555704	-162.46186873052108	0.1784269482953914	0.04540684843598115	0.04540684843598115	0.2934179613839019	-0.19844848523149555	5.834299805958454	-0.9028662245819972	-0.9028662245819972	3.547827491226904	0.2763041084194704	0.07634396032947845	0.46169560048332814	13.839693583635064	-162.46186873052108
3600000	-352.0843902752672	-198.11607365238538	-153.9683166228818	0.12370926613772439	-8.80080498255303E-4	-8.80080498255303E-4	0.2800023126193257	0.004728685963696254	8.083649610027024	0.025407870063509058	0.025407870063509055	3.571478933927647	0.2663529199057253	0.07094387794230571	0.4011085447353844	15.317220429606305	-153.9683166228818
3700000	-352.640494829834	-194.28766271293824	-158.35283211689577	0.20967186048010922	-0.015645166208110746	-0.015645166208110746	0.16306161450796927	0.08461244364286469	4.803748523964488	0.4609021216070324	0.46090212160703237	6.176873038681876	0.21471836295117389	0.04610397538843204	0.45483959791767226	14.215651428796532	-158.35283211689577
3800000	-346.0229131176741	-194.54725940476092	-151.47565371291319	0.26120558142916034	0.0275052203999645	0.0275052203999645	0.1620847570717412	-0.13367580734983675	3.8980573638342406	-0.6614867977777179	-0.6614867977777178	6.281863628384713	0.24669813597744758	0.06085997029474722	0.4929667987288342	14.054207620369503	-151.47565371291319
3900000	-314.1588374749365	-174.78895988721976	-139.3698775877167	0.26570755452118544	0.02785840188235289	0.02785840188235289	0.3355380133492674	-0.09330037377611301	3.7965853222018544	-0.3152155507830553	-0.31521555078305535	3.006459361858423	0.24372113898161255	0.0593999935864945	0.4687518019521013	14.101513454698676	-139.3698775877167
