collection_date	latitude	longitude
34	1982.33333333333	38.0267291967722	-78.4929771329627
49	1982.58333333333	38.7945762745338	-78.8342848603261
46	1982.91666666667	38.0151076165166	-78.7063110743186
51	1983	38.7351614240327	-80.1206940867235
23	1983.08333333333	39.2852417768316	-79.2316791554094
38	1983.66666666667	38.0513535795777	-79.425214716963
61	1983.91666666667	37.8953104159931	-76.6789752373434
11	1984	39.2560907281139	-79.8939367395902
22	1984.41666666667	39.1175316058096	-79.4382617895519
63	1984.41666666667	38.0236682337416	-78.8426295157
76	1985.5	37.9610197236448	-79.0782703434811
81	1985.58333333333	38.5154698221903	-79.8420565488488
37	1985.66666666667	39.1751202292089	-79.2324999221834
70	1985.66666666667	39.3755355191014	-79.656314363574
78	1985.91666666667	38.7005306131082	-79.9512491270432
84	1986.66666666667	38.8404462027893	-79.3117070083419
73	1986.91666666667	38.7043933960389	-79.977638022862
99	1986.91666666667	37.5624788833227	-80.1515705203774
91	1987.08333333333	37.7996768295764	-77.9467860599413
102	1987.08333333333	40.133382888678	-80.083179000194
96	1987.25	38.3891451743777	-79.9165728182644
45	1987.33333333333	38.6841165261749	-79.7739663842458
92	1987.33333333333	38.8793900961523	-79.2810862856183
88	1987.41666666667	38.3661732057045	-80.2453807969967
44	1987.58333333333	38.7680407756766	-79.6464238491276
108	1987.58333333333	38.2816449420384	-77.1333011116143
112	1987.58333333333	39.0656251275513	-79.0916683671252
65	1987.66666666667	38.2108703314208	-78.365961497983
110	1987.75	36.5114927309123	-76.6070784079537
109	1987.83333333333	39.1943222534587	-76.6909294318308
100	1988	39.8001046878611	-80.2301488967879
79	1988.5	38.8986123632599	-79.7219817042531
113	1988.5	39.0667707691911	-79.2830080996584
87	1988.58333333333	39.2507111205137	-76.0979227298047
114	1989.5	38.5276676405017	-79.3386604238433
40	1989.91666666667	37.8649493701368	-78.8434419993985
82	1989.91666666667	39.3219385565871	-79.6973062339996
121	1990	38.6826401908715	-79.0130418429897
127	1990	39.7814201447932	-80.9797437465885
128	1990.25	39.1395742440627	-79.8449972817983
72	1990.5	39.0746047473605	-80.5482038901724
42	1990.66666666667	39.102515772003	-79.4411848666213
103	1990.66666666667	39.0331099395643	-79.854998030706
135	1990.75	37.9246505468459	-80.0732327445046
137	1991	38.5892932642369	-79.2999460787758
126	1992.41666666667	39.7843775507115	-81.0167989770898
130	1992.66666666667	38.9694324579214	-79.6102035998608
156	1992.91666666667	39.9158105494824	-81.0751608356932
93	1993	38.1303155540769	-79.7364981721136
147	1993	38.4881490306564	-79.7039605320893
155	1993	40.4584003664141	-79.5085798389715
140	1993.08333333333	36.4161198659004	-79.5955400573907
25	1993.16666666667	39.1818350842631	-79.1350537890435
115	1993.16666666667	38.4186669439478	-78.4972481319011
136	1993.41666666667	38.3856765810213	-79.6184205439311
143	1993.58333333333	38.9454547714072	-79.7496069399127
47	1993.66666666667	38.9791944246919	-78.7431387565001
141	1993.91666666667	36.9345759160804	-79.9421554322286
166	1994	38.3584689348338	-79.2707150136884
157	1994.08333333333	39.1299126389156	-81.0630666036578
170	1994.16666666667	36.9586023321626	-80.6504670426599
148	1994.25	36.6723893651107	-80.8015480029577
164	1994.25	39.0867022030805	-79.3844868703452
151	1994.33333333333	39.6927709745838	-80.6557266279062
165	1994.41666666667	39.4721897563841	-79.1928592196682
177	1995	39.2550295678833	-79.7803267819062
178	1995.25	38.6220488200881	-78.8501177304783
89	1995.83333333333	38.5373593529374	-80.4577575668497
146	1995.91666666667	38.6017885869644	-79.6242660382186
180	1996.16666666667	38.8205826718695	-75.9943139905348
105	1996.25	37.9102569418746	-79.0843071473354
168	1996.25	39.6645511746957	-79.2318442453852
193	1996.58333333333	38.5687661411785	-78.8033179061458
154	1996.66666666667	40.011321064289	-79.8863790846503
183	1996.66666666667	39.7680480335791	-79.6734093861787
187	1996.83333333333	36.6314348157387	-78.6591844355241
188	1996.83333333333	38.8777581171605	-79.5295212970929
184	1997.08333333333	38.8106485613621	-79.0970272810496
190	1997.25	38.5593923031446	-79.2978093410393
192	1997.41666666667	38.2137449828507	-78.6475641219841
77	1997.58333333333	38.044415826227	-79.2449514710686
191	1997.83333333333	38.606968463044	-79.574111772491
205	1997.91666666667	36.9648527273675	-80.6137045667141
131	1998.08333333333	39.4456957840593	-79.7340527003969
123	1998.16666666667	39.3136076541641	-80.000345406841
197	1998.16666666667	40.4257266327532	-78.7125516502208
206	1998.25	37.0336751066735	-80.5484874475129
207	1998.25	37.1114760389557	-80.671226741281
172	1998.58333333333	33.6837966113974	-79.13898817079
194	1999	36.1156901865011	-77.9500840612232
202	1999.08333333333	39.1104130332249	-80.279396768946
198	1999.25	37.1043427215654	-79.3880370361151
208	1999.41666666667	39.6479338686584	-79.6783813965345
182	1999.66666666667	40.3454491103664	-80.6244115493413
203	2000.66666666667	38.8095437698989	-80.3585812085531
196	2001.08333333333	40.9552009125668	-78.5139677947304
220	2001.16666666667	37.0820553076923	-80.0198227165926
216	2001.66666666667	36.8129449523821	-79.7105804762535
213	2001.83333333333	37.1703395203248	-78.6533148172226
211	2002.25	37.2259379820316	-78.1538672445353
221	2002.25	37.5555071204761	-80.3404793250319
229	2002.41666666667	37.9475713123922	-77.8350930038317
230	2002.41666666667	38.7211548860203	-78.489948407735
223	2002.83333333333	38.9181311180314	-80.3228857343151
233	2003	37.567515302754	-77.8504462444077
215	2003.25	39.8959898316998	-77.8965572226241
236	2003.41666666667	39.8354672673442	-79.592067611781
231	2003.66666666667	38.5026861376835	-78.4379911760249
