CS_beta_env;CS_R2_env;CS_Q;CS_pQ;CS_BF
23.867 [20.336, 30.179];0.466 [0.366, 0.534];0.313 [0.278, 0.339];1;Inf
23.842 [20.046, 33];0.457 [0.336, 0.526];0.3 [0.214, 0.385];1;99
17.093 [15.968, 18.389];0.452 [0.431, 0.498];0.276 [0.242, 0.307];1;32.3
16.827 [15.13, 19.225];0.428 [0.332, 0.482];0.228 [0.131, 0.281];1;32.3
22.897 [18.116, 32.148];0.522 [0.385, 0.594];0.302 [0.261, 0.331];1;99
21.872 [19.44, 26.146];0.519 [0.448, 0.554];0.314 [0.283, 0.334];1;99
20.347 [17.6, 26.004];0.563 [0.467, 0.609];0.28 [0.219, 0.319];1;Inf
19.698 [17.716, 23.142];0.406 [0.349, 0.442];0.251 [0.184, 0.296];1;9
20.479 [18.27, 24.804];0.573 [0.5, 0.624];0.283 [0.241, 0.308];1;Inf
21.458 [17.918, 28.15];0.435 [0.272, 0.525];0.272 [0.214, 0.312];1;49
