CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.084 [0.039, 0.129]	0.424 [0.222, 0.560]	0.340 [0.134, 0.486]	1.00	>99
0.069 [0.000, 0.123]	0.424 [0.209, 0.569]	0.355 [0.147, 0.532]	1.00	>99
0.084 [0.024, 0.133]	0.419 [0.317, 0.505]	0.334 [0.212, 0.451]	1.00	>99
0.073 [0.004, 0.121]	0.407 [0.246, 0.506]	0.334 [0.155, 0.471]	1.00	899.0
0.084 [0.040, 0.133]	0.413 [0.227, 0.575]	0.329 [0.129, 0.486]	1.00	>99
0.090 [0.045, 0.131]	0.429 [0.238, 0.550]	0.339 [0.145, 0.466]	1.00	>99
0.085 [0.024, 0.138]	0.422 [0.242, 0.562]	0.337 [0.156, 0.498]	1.00	>99
0.113 [0.022, 0.176]	0.409 [0.215, 0.504]	0.296 [0.109, 0.434]	0.99	111.5
0.085 [0.045, 0.132]	0.401 [0.195, 0.545]	0.316 [0.102, 0.463]	1.00	299.0
0.087 [0.035, 0.149]	0.411 [0.218, 0.584]	0.325 [0.107, 0.495]	1.00	449.0
