CS_LR2_beta_env	CS_LR2_R2_env	CS_LR2_Q	CS_LR2_pQ	CS_LR2_BF
0.479 [0.381, 0.534]	0.508 [0.379, 0.594]	0.240 [0.088, 0.407]	0.99	13.3
0.647 [0.489, 0.817]	0.569 [0.429, 0.695]	0.299 [0.124, 0.497]	1.00	99.0
0.461 [0.332, 0.565]	0.490 [0.386, 0.581]	0.205 [0.066, 0.419]	0.98	9.0
0.455 [0.352, 0.527]	0.445 [0.339, 0.526]	0.137 [-0.032, 0.321]	0.91	15.7
0.235 [0.191, 0.278]	0.388 [0.287, 0.464]	0.028 [-0.179, 0.200]	0.67	-
0.489 [0.361, 0.555]	0.556 [0.433, 0.679]	0.216 [0.024, 0.439]	0.99	49.0
0.280 [0.223, 0.363]	0.484 [0.413, 0.555]	0.085 [-0.098, 0.272]	0.85	-
0.472 [0.366, 0.560]	0.421 [0.309, 0.535]	0.167 [0.012, 0.330]	0.97	8.1
0.170 [0.135, 0.213]	0.361 [0.299, 0.452]	-0.071 [-0.247, 0.109]	0.14	-
0.620 [0.470, 0.744]	0.515 [0.336, 0.634]	0.171 [-0.068, 0.352]	0.94	19.0
