LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.427 [0.233, 0.574]	0.668 [0.457, 0.792]	0.241 [0.039, 0.512]	0.97	32.3
0.447 [0.274, 0.608]	0.711 [0.542, 0.878]	0.264 [-0.031, 0.457]	0.96	24.0
0.460 [0.331, 0.578]	0.724 [0.631, 0.844]	0.264 [0.131, 0.442]	1.00	>99
0.438 [0.321, 0.591]	0.736 [0.625, 0.828]	0.297 [0.104, 0.470]	1.00	>99
0.419 [0.261, 0.552]	0.678 [0.508, 0.813]	0.259 [0.050, 0.451]	1.00	>99
0.426 [0.333, 0.573]	0.712 [0.565, 0.833]	0.286 [0.105, 0.463]	1.00	>99
0.453 [0.234, 0.582]	0.702 [0.531, 0.798]	0.250 [0.091, 0.531]	0.97	32.3
0.454 [0.325, 0.579]	0.735 [0.595, 0.841]	0.281 [0.057, 0.464]	0.98	49.0
0.427 [0.299, 0.595]	0.671 [0.465, 0.809]	0.244 [-0.002, 0.449]	0.97	32.3
0.435 [0.274, 0.636]	0.676 [0.442, 0.811]	0.241 [0.014, 0.499]	0.96	24.0
