CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.394 [0.256, 0.551]	0.516 [0.330, 0.675]	0.122 [-0.114, 0.325]	0.85	5.8
0.420 [0.229, 0.619]	0.530 [0.339, 0.738]	0.110 [-0.160, 0.356]	0.81	4.3
0.434 [0.318, 0.566]	0.565 [0.441, 0.709]	0.131 [-0.049, 0.308]	0.91	10.5
0.421 [0.299, 0.621]	0.537 [0.381, 0.674]	0.116 [-0.096, 0.360]	0.86	6.1
0.401 [0.265, 0.540]	0.524 [0.348, 0.709]	0.123 [-0.099, 0.363]	0.86	6.1
0.407 [0.297, 0.535]	0.525 [0.378, 0.680]	0.118 [-0.065, 0.321]	0.88	7.6
0.410 [0.299, 0.533]	0.532 [0.402, 0.700]	0.122 [-0.058, 0.310]	0.89	8.4
0.429 [0.302, 0.555]	0.547 [0.395, 0.729]	0.118 [-0.089, 0.347]	0.88	7.3
0.404 [0.283, 0.556]	0.524 [0.369, 0.691]	0.121 [-0.096, 0.319]	0.87	6.6
0.413 [0.227, 0.568]	0.546 [0.333, 0.717]	0.133 [-0.144, 0.363]	0.86	5.9
