CGT_R2_null;CGT_R2_env;CGT_Q;CGT_pQ;CGT_BF
0.478 [0.318, 0.639];0.512 [0.316, 0.665];0.034 [-0.17, 0.26];0.59;1.4
0.495 [0.218, 0.643];0.52 [0.273, 0.727];0.025 [-0.257, 0.328];0.51;1
0.531 [0.368, 0.664];0.558 [0.451, 0.703];0.028 [-0.134, 0.231];0.59;1.4
0.502 [0.379, 0.724];0.548 [0.411, 0.689];0.046 [-0.213, 0.268];0.64;1.8
0.485 [0.319, 0.621];0.519 [0.348, 0.714];0.034 [-0.178, 0.291];0.58;1.4
0.483 [0.334, 0.627];0.51 [0.344, 0.68];0.027 [-0.236, 0.213];0.65;1.9
0.491 [0.373, 0.615];0.537 [0.402, 0.691];0.046 [-0.134, 0.257];0.68;2.1
0.512 [0.378, 0.643];0.532 [0.416, 0.713];0.019 [-0.231, 0.2];0.6;1.5
0.48 [0.316, 0.62];0.538 [0.379, 0.717];0.057 [-0.141, 0.284];0.73;2.7
0.487 [0.305, 0.646];0.537 [0.345, 0.722];0.051 [-0.179, 0.365];0.63;1.7
