LC_beta_env	LC_R2_env	LC_Q	LC_pQ	LC_BF
11.485 [9.571, 14.893]	0.340 [0.281, 0.387]	0.105 [0.091, 0.115]	1.00	13.3
10.479 [8.820, 14.934]	0.357 [0.288, 0.423]	0.099 [0.029, 0.153]	0.99	15.7
7.916 [7.356, 8.735]	0.340 [0.313, 0.395]	0.081 [0.057, 0.110]	1.00	19.0
8.065 [7.431, 8.852]	0.341 [0.279, 0.379]	0.069 [0.009, 0.105]	0.99	15.7
11.577 [9.102, 16.550]	0.338 [0.242, 0.379]	0.103 [0.077, 0.119]	1.00	32.3
10.456 [9.242, 12.663]	0.363 [0.323, 0.393]	0.100 [0.079, 0.115]	1.00	13.3
10.289 [8.839, 13.258]	0.372 [0.314, 0.417]	0.103 [0.059, 0.127]	1.00	19.0
9.510 [8.511, 10.825]	0.347 [0.321, 0.379]	0.083 [0.044, 0.117]	0.98	10.1
10.785 [9.525, 13.204]	0.365 [0.313, 0.412]	0.103 [0.077, 0.121]	1.00	10.1
9.525 [7.669, 12.849]	0.321 [0.211, 0.385]	0.091 [0.061, 0.113]	1.00	13.3
