CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.466 [0.332, 0.614]	0.531 [0.355, 0.721]	0.066 [-0.167, 0.270]	0.70	2.3
0.470 [0.278, 0.636]	0.524 [0.317, 0.700]	0.054 [-0.152, 0.309]	0.66	1.9
0.518 [0.390, 0.668]	0.585 [0.475, 0.741]	0.068 [-0.085, 0.281]	0.71	2.4
0.505 [0.376, 0.717]	0.536 [0.396, 0.680]	0.031 [-0.177, 0.253]	0.63	1.7
0.476 [0.338, 0.660]	0.529 [0.348, 0.720]	0.053 [-0.170, 0.332]	0.65	1.9
0.488 [0.370, 0.635]	0.520 [0.395, 0.684]	0.032 [-0.128, 0.215]	0.60	1.5
0.488 [0.371, 0.621]	0.531 [0.349, 0.677]	0.044 [-0.125, 0.260]	0.67	2.0
0.508 [0.330, 0.641]	0.561 [0.408, 0.751]	0.053 [-0.142, 0.302]	0.69	2.2
0.476 [0.335, 0.620]	0.532 [0.376, 0.682]	0.056 [-0.171, 0.202]	0.73	2.7
0.480 [0.275, 0.651]	0.550 [0.368, 0.722]	0.070 [-0.159, 0.361]	0.68	2.1
