LC_LR2_beta_env;LC_LR2_R2_env;LC_LR2_Q;LC_LR2_pQ;LC_LR2_BF
0.005 [0.004, 0.007];0.762 [0.511, 0.94];0.352 [0.171, 0.524];1;99
0.005 [0.003, 0.007];0.764 [0.493, 0.949];0.343 [0.12, 0.585];0.99;Inf
0.004 [0.003, 0.006];0.79 [0.564, 0.926];0.264 [0.009, 0.461];0.97;99
0.005 [0.003, 0.006];0.818 [0.676, 0.937];0.294 [0.043, 0.522];0.97;99
0.005 [0.004, 0.006];0.766 [0.583, 0.96];0.351 [0.146, 0.542];1;99
0.005 [0.004, 0.006];0.811 [0.619, 0.927];0.385 [0.206, 0.538];1;Inf
0.005 [0.004, 0.006];0.782 [0.566, 0.928];0.35 [0.136, 0.536];1;Inf
0.005 [0.003, 0.006];0.786 [0.512, 0.936];0.334 [0.125, 0.495];0.99;32.3
0.005 [0.004, 0.006];0.778 [0.539, 0.944];0.355 [0.171, 0.54];1;19
0.005 [0.003, 0.006];0.769 [0.498, 0.939];0.28 [0.061, 0.474];0.98;99
