CS_LR2_beta_env;CS_LR2_R2_env;CS_LR2_Q;CS_LR2_pQ;CS_LR2_BF
0.516 [0.416, 0.627];0.499 [0.328, 0.604];0.214 [0.039, 0.376];0.99;24
0.442 [0.273, 0.514];0.437 [0.269, 0.533];0.128 [-0.064, 0.321];0.92;9
0.445 [0.366, 0.521];0.481 [0.332, 0.567];0.169 [0.009, 0.342];0.98;15.7
0.455 [0.351, 0.544];0.458 [0.35, 0.552];0.146 [-0.064, 0.325];0.92;15.7
0.462 [0.376, 0.56];0.524 [0.336, 0.616];0.171 [-0.035, 0.385];0.94;49
0.198 [0.164, 0.253];0.405 [0.322, 0.502];-0.005 [-0.142, 0.117];0.39;-
0.501 [0.421, 0.581];0.503 [0.387, 0.623];0.218 [0.047, 0.362];0.99;99
0.289 [0.233, 0.355];0.511 [0.424, 0.609];0.07 [-0.111, 0.272];0.75;-
0.289 [0.241, 0.372];0.458 [0.384, 0.547];0.057 [-0.119, 0.235];0.78;-
0.523 [0.415, 0.637];0.466 [0.311, 0.58];0.181 [-0.009, 0.312];0.99;15.7
