LC_beta_env;LC_R2_env;LC_Q;LC_pQ;LC_BF
11.627 [9.512, 16.328];0.337 [0.247, 0.395];0.102 [0.084, 0.114];1;10.1
8.62 [7.166, 11.875];0.329 [0.234, 0.408];0.084 [0.029, 0.14];0.97;24
7.922 [7.439, 8.586];0.338 [0.31, 0.376];0.081 [0.051, 0.099];1;24
8.057 [7.292, 9.056];0.34 [0.287, 0.378];0.068 [0.001, 0.109];0.99;13.3
11.313 [9.076, 15.559];0.344 [0.251, 0.384];0.101 [0.076, 0.122];1;24
10.281 [9.248, 13.196];0.37 [0.315, 0.398];0.104 [0.075, 0.124];1;32.3
10.014 [9.062, 12.434];0.362 [0.289, 0.402];0.094 [0.055, 0.126];1;15.7
9.523 [8.925, 10.366];0.356 [0.306, 0.387];0.092 [0.035, 0.123];0.98;13.3
10.935 [9.35, 13.978];0.364 [0.31, 0.408];0.108 [0.08, 0.125];1;15.7
12.154 [9.389, 17.381];0.347 [0.236, 0.415];0.108 [0.088, 0.133];1;13.3
