CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.083 [0.048, 0.123];0.428 [0.217, 0.578];0.346 [0.132, 0.512];1;Inf
0.073 [0.003, 0.131];0.433 [0.266, 0.581];0.36 [0.125, 0.473];1;Inf
0.088 [0.03, 0.147];0.416 [0.317, 0.487];0.328 [0.214, 0.418];1;Inf
0.077 [0.016, 0.138];0.407 [0.217, 0.5];0.331 [0.15, 0.459];1;Inf
0.083 [0.041, 0.133];0.429 [0.241, 0.576];0.346 [0.156, 0.489];1;Inf
0.09 [0.046, 0.133];0.425 [0.219, 0.53];0.335 [0.149, 0.472];1;Inf
0.079 [0.03, 0.133];0.422 [0.223, 0.528];0.344 [0.139, 0.464];1;Inf
0.11 [0.017, 0.164];0.416 [0.308, 0.499];0.307 [0.169, 0.427];1;Inf
0.088 [0.04, 0.127];0.393 [0.219, 0.593];0.306 [0.11, 0.507];1;Inf
0.083 [0.023, 0.146];0.409 [0.219, 0.564];0.326 [0.141, 0.523];1;Inf
