CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.083 [0.042, 0.124]	0.433 [0.217, 0.550]	0.350 [0.141, 0.505]	1.00	>99
0.070 [0.000, 0.134]	0.423 [0.206, 0.561]	0.353 [0.133, 0.535]	1.00	>99
0.085 [0.025, 0.139]	0.420 [0.330, 0.494]	0.335 [0.225, 0.429]	1.00	>99
0.072 [0.005, 0.116]	0.397 [0.259, 0.501]	0.325 [0.167, 0.441]	0.99	99.0
0.087 [0.038, 0.133]	0.400 [0.217, 0.538]	0.313 [0.125, 0.470]	1.00	>99
0.088 [0.046, 0.137]	0.419 [0.256, 0.540]	0.331 [0.165, 0.467]	1.00	>99
0.084 [0.004, 0.133]	0.437 [0.261, 0.576]	0.353 [0.179, 0.518]	1.00	>99
0.119 [0.048, 0.229]	0.408 [0.220, 0.526]	0.289 [0.092, 0.458]	0.99	99.0
0.085 [0.040, 0.128]	0.392 [0.171, 0.520]	0.307 [0.082, 0.472]	1.00	>99
0.089 [0.037, 0.147]	0.401 [0.219, 0.574]	0.312 [0.073, 0.477]	1.00	>99
