LC_LR1_beta_env	LC_LR1_R2_env	LC_LR1_Q	LC_LR1_pQ	LC_LR1_BF
0.123 [0.106, 0.143]	0.659 [0.483, 0.792]	0.123 [0.040, 0.240]	0.98	32.3
0.118 [0.091, 0.146]	0.671 [0.481, 0.802]	0.142 [0.002, 0.250]	0.98	>99
0.106 [0.089, 0.125]	0.678 [0.548, 0.774]	0.079 [-0.039, 0.168]	0.93	99.0
0.113 [0.082, 0.126]	0.680 [0.556, 0.773]	0.065 [-0.063, 0.211]	0.82	-
0.123 [0.103, 0.149]	0.660 [0.499, 0.796]	0.118 [-0.017, 0.211]	0.96	49.0
0.125 [0.108, 0.143]	0.698 [0.520, 0.797]	0.134 [0.010, 0.234]	0.99	32.3
0.120 [0.104, 0.141]	0.677 [0.519, 0.796]	0.133 [0.026, 0.266]	0.97	24.0
0.115 [0.094, 0.139]	0.675 [0.501, 0.817]	0.099 [-0.022, 0.200]	0.93	49.0
0.124 [0.106, 0.142]	0.663 [0.479, 0.813]	0.109 [-0.026, 0.199]	0.96	11.5
0.117 [0.096, 0.143]	0.643 [0.409, 0.762]	0.066 [-0.095, 0.188]	0.87	-
