LC_LR1_beta_env;LC_LR1_R2_env;LC_LR1_Q;LC_LR1_pQ;LC_LR1_BF
0.125 [0.104, 0.148];0.659 [0.448, 0.772];0.116 [-0.014, 0.262];0.94;49
0.109 [0.085, 0.133];0.658 [0.445, 0.802];0.074 [-0.064, 0.211];0.84;-
0.106 [0.088, 0.122];0.673 [0.565, 0.79];0.078 [-0.039, 0.226];0.88;-
0.112 [0.094, 0.128];0.673 [0.569, 0.783];0.059 [-0.057, 0.204];0.78;-
0.123 [0.104, 0.152];0.664 [0.476, 0.801];0.105 [-0.024, 0.198];0.95;32.3
0.125 [0.109, 0.146];0.714 [0.547, 0.813];0.152 [0.038, 0.265];0.99;24
0.118 [0.094, 0.141];0.673 [0.481, 0.794];0.125 [0.014, 0.238];0.97;32.3
0.115 [0.097, 0.136];0.69 [0.562, 0.808];0.108 [-0.038, 0.216];0.94;24
0.125 [0.105, 0.142];0.676 [0.514, 0.812];0.118 [-0.021, 0.248];0.97;19
0.125 [0.105, 0.162];0.642 [0.456, 0.793];0.098 [-0.018, 0.247];0.94;24
