CGT_R2_null;CGT_R2_env;CGT_Q;CGT_pQ;CGT_BF
0.029 [0.018, 0.05];0.155 [0.155, 0.155];0.125 [0.105, 0.137];1;Inf
0.016 [0.005, 0.027];0.042 [0.042, 0.042];0.026 [0.015, 0.037];1;Inf
0.098 [0.052, 0.151];0.031 [0.031, 0.031];-0.067 [-0.12, -0.021];0;0
0.017 [0.009, 0.028];0.086 [0.086, 0.086];0.069 [0.058, 0.078];1;Inf
0.023 [0.016, 0.033];0.063 [0.063, 0.063];0.04 [0.03, 0.047];1;Inf
0.032 [0.012, 0.05];0.1 [0.1, 0.1];0.069 [0.051, 0.088];1;Inf
0.045 [0.034, 0.054];0.081 [0.081, 0.081];0.037 [0.027, 0.048];1;Inf
0.024 [0.018, 0.031];0.076 [0.076, 0.076];0.052 [0.045, 0.058];1;Inf
0.022 [0.013, 0.037];0.012 [0.012, 0.012];-0.009 [-0.024, 0];0.04;0
0.015 [0.003, 0.028];0.087 [0.087, 0.087];0.072 [0.059, 0.084];1;Inf
0.015 [0.005, 0.028];0.203 [0.203, 0.203];0.188 [0.175, 0.197];1;Inf
0.046 [0.028, 0.06];0.117 [0.117, 0.117];0.071 [0.057, 0.089];1;Inf
0.015 [0.01, 0.023];0.124 [0.124, 0.124];0.109 [0.101, 0.114];1;Inf
0.026 [0.015, 0.035];0.082 [0.082, 0.082];0.056 [0.047, 0.067];1;Inf
0.022 [0.011, 0.034];0.12 [0.12, 0.12];0.098 [0.085, 0.109];1;Inf
0.039 [0.006, 0.068];0.271 [0.271, 0.271];0.232 [0.203, 0.265];1;Inf
0.017 [0.003, 0.038];0.168 [0.168, 0.168];0.151 [0.13, 0.165];1;Inf
0.05 [0.021, 0.075];0.158 [0.158, 0.158];0.108 [0.083, 0.137];1;Inf
0.01 [0.002, 0.017];0.018 [0.018, 0.018];0.008 [0.001, 0.015];0.96;24
0.017 [0.007, 0.025];0.102 [0.102, 0.102];0.085 [0.077, 0.095];1;Inf
0.019 [0.005, 0.032];0.139 [0.139, 0.139];0.12 [0.107, 0.133];1;Inf
0.013 [0.003, 0.031];0.052 [0.052, 0.052];0.039 [0.021, 0.049];1;Inf
0.054 [0.038, 0.073];0.087 [0.087, 0.087];0.033 [0.014, 0.049];0.99;99
0.017 [0.004, 0.032];0.082 [0.082, 0.082];0.064 [0.049, 0.078];1;Inf
0.022 [0.012, 0.033];0.058 [0.058, 0.058];0.036 [0.025, 0.046];1;Inf
0.039 [0.017, 0.067];0.13 [0.13, 0.13];0.091 [0.063, 0.113];1;Inf
0.024 [0.011, 0.041];0.088 [0.088, 0.088];0.064 [0.047, 0.077];1;Inf
0.037 [0.023, 0.05];0.044 [0.044, 0.044];0.006 [-0.006, 0.021];0.83;4.9
0.014 [0.007, 0.028];0.15 [0.15, 0.15];0.136 [0.122, 0.143];1;Inf
0.026 [0.016, 0.034];0.047 [0.047, 0.047];0.021 [0.013, 0.031];1;Inf
0.048 [0.026, 0.068];0.115 [0.115, 0.115];0.067 [0.047, 0.089];1;Inf
0.01 [0.004, 0.019];0.079 [0.079, 0.079];0.069 [0.06, 0.074];1;Inf
0.018 [0.01, 0.027];0.111 [0.111, 0.111];0.093 [0.083, 0.101];1;Inf
0.03 [0.02, 0.043];0.066 [0.066, 0.066];0.036 [0.023, 0.046];1;Inf
0.022 [0.007, 0.039];0.05 [0.05, 0.05];0.028 [0.011, 0.043];0.99;99
0.025 [0.014, 0.039];0.228 [0.228, 0.228];0.203 [0.189, 0.214];1;Inf
0.04 [0.019, 0.06];0.195 [0.195, 0.195];0.155 [0.135, 0.176];1;Inf
0.018 [0.006, 0.03];0.031 [0.031, 0.031];0.013 [0.001, 0.025];0.96;24
0.013 [0.001, 0.032];0.065 [0.065, 0.065];0.051 [0.032, 0.064];1;Inf
0.006 [0.001, 0.014];0.149 [0.149, 0.149];0.143 [0.135, 0.148];1;Inf
0.015 [0.004, 0.027];0.049 [0.049, 0.049];0.034 [0.022, 0.045];0.99;99
0.015 [0.005, 0.027];0.123 [0.123, 0.123];0.108 [0.096, 0.118];1;Inf
0.025 [0.008, 0.038];0.129 [0.129, 0.129];0.104 [0.091, 0.121];1;Inf
0.022 [0.008, 0.035];0.095 [0.095, 0.095];0.073 [0.059, 0.087];1;Inf
0.029 [0.015, 0.045];0.201 [0.201, 0.201];0.171 [0.156, 0.186];1;Inf
0.018 [0.006, 0.035];0.057 [0.057, 0.057];0.039 [0.022, 0.051];1;Inf
0.016 [0.006, 0.026];0.15 [0.15, 0.15];0.134 [0.125, 0.144];1;Inf
0.046 [0.027, 0.061];0.042 [0.042, 0.042];-0.004 [-0.019, 0.014];0.33;0.5
0.034 [0.015, 0.068];0.084 [0.084, 0.084];0.05 [0.016, 0.069];0.98;49
0.02 [0.012, 0.03];0.068 [0.068, 0.068];0.048 [0.038, 0.056];1;Inf
