CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.001 [0, 0.001];0.136 [0.099, 0.182];0.135 [0.098, 0.182];1;Inf
0.034 [0.016, 0.065];0.024 [0.007, 0.046];-0.01 [-0.048, 0.013];0.27;0.4
0.014 [0.001, 0.032];0.042 [0.004, 0.088];0.028 [-0.029, 0.082];0.84;5.2
0.05 [0.018, 0.082];0.06 [0.019, 0.106];0.011 [-0.047, 0.089];0.6;1.5
0.043 [0.011, 0.072];0.066 [0.046, 0.093];0.023 [-0.022, 0.058];0.86;6.1
0.053 [0.02, 0.101];0.092 [0.037, 0.176];0.039 [-0.045, 0.122];0.85;5.7
0.03 [0.014, 0.053];0.091 [0.047, 0.14];0.061 [0.017, 0.118];1;Inf
0.011 [0.003, 0.022];0.081 [0.041, 0.126];0.069 [0.027, 0.115];1;Inf
0.002 [0, 0.006];0.022 [0.008, 0.048];0.02 [0.004, 0.046];0.99;99
0.025 [0.007, 0.047];0.1 [0.037, 0.162];0.075 [0.016, 0.135];1;Inf
0.092 [0.047, 0.152];0.065 [0.022, 0.124];-0.027 [-0.121, 0.038];0.3;0.4
0.008 [0.002, 0.015];0.045 [0.018, 0.076];0.036 [0.011, 0.072];1;Inf
0.073 [0.041, 0.106];0.119 [0.061, 0.172];0.047 [-0.041, 0.097];0.88;7.3
0.049 [0.026, 0.077];0.068 [0.038, 0.099];0.019 [-0.017, 0.061];0.83;4.9
0.027 [0.012, 0.052];0.132 [0.052, 0.232];0.105 [0.023, 0.215];1;Inf
0.03 [0.017, 0.05];0.18 [0.118, 0.241];0.149 [0.089, 0.221];1;Inf
0.12 [0.088, 0.158];0.057 [0.015, 0.095];-0.063 [-0.101, -0.003];0.02;0
0.01 [0.001, 0.026];0.083 [0.036, 0.125];0.073 [0.024, 0.113];1;Inf
0.009 [0.003, 0.015];0.036 [0.009, 0.065];0.026 [-0.003, 0.058];0.98;49
0.077 [0.045, 0.105];0.06 [0.028, 0.101];-0.017 [-0.06, 0.046];0.22;0.3
0.082 [0.049, 0.116];0.119 [0.071, 0.163];0.038 [-0.016, 0.085];0.88;7.3
0.019 [0.001, 0.043];0.068 [0.025, 0.124];0.048 [-0.005, 0.105];0.95;19
0.058 [0.035, 0.077];0.054 [0.026, 0.092];-0.004 [-0.051, 0.036];0.38;0.6
0.078 [0.034, 0.11];0.039 [0.019, 0.068];-0.039 [-0.073, 0.006];0.04;0
0.024 [0.01, 0.04];0.039 [0.015, 0.064];0.015 [-0.019, 0.041];0.79;3.8
0.09 [0.043, 0.122];0.192 [0.097, 0.282];0.101 [0.005, 0.193];0.97;32.3
0.06 [0.025, 0.092];0.043 [0.019, 0.066];-0.016 [-0.057, 0.02];0.17;0.2
0.071 [0.03, 0.131];0.083 [0.02, 0.143];0.013 [-0.077, 0.084];0.58;1.4
0.071 [0.014, 0.109];0.06 [0.025, 0.097];-0.011 [-0.063, 0.051];0.32;0.5
0.019 [0.012, 0.027];0.11 [0.06, 0.149];0.091 [0.041, 0.133];1;Inf
0.033 [0, 0.074];0.041 [0.004, 0.131];0.008 [-0.07, 0.148];0.44;0.8
0.052 [0.018, 0.081];0.058 [0.035, 0.085];0.006 [-0.029, 0.047];0.66;1.9
0.105 [0.044, 0.167];0.106 [0.037, 0.169];0.001 [-0.09, 0.104];0.49;1
0 [0, 0.001];0.06 [0.027, 0.095];0.059 [0.026, 0.095];1;Inf
0.045 [0.029, 0.062];0.067 [0.019, 0.119];0.022 [-0.028, 0.08];0.75;3
0.061 [0.022, 0.114];0.073 [0.034, 0.121];0.012 [-0.053, 0.07];0.63;1.7
0.084 [0.047, 0.121];0.162 [0.088, 0.248];0.079 [-0.004, 0.16];0.97;32.3
0.021 [0.003, 0.045];0.085 [0.033, 0.14];0.064 [0.013, 0.124];0.99;99
0.023 [0.013, 0.039];0.069 [0.038, 0.101];0.045 [0.016, 0.087];0.99;99
0.108 [0.077, 0.142];0.196 [0.107, 0.29];0.088 [-0.029, 0.192];0.92;11.5
0.035 [0.016, 0.055];0.078 [0.029, 0.138];0.044 [-0.007, 0.101];0.94;15.7
0.103 [0.071, 0.141];0.094 [0.069, 0.122];-0.009 [-0.046, 0.032];0.31;0.4
0.072 [0.033, 0.103];0.035 [0.012, 0.064];-0.037 [-0.085, -0.004];0.04;0
0.005 [0.003, 0.008];0.081 [0.049, 0.11];0.076 [0.043, 0.104];1;Inf
0.012 [0.001, 0.034];0.123 [0.047, 0.197];0.11 [0.033, 0.177];1;Inf
0.065 [0.023, 0.107];0.122 [0.066, 0.166];0.057 [-0.019, 0.119];0.94;15.7
0.021 [0.009, 0.036];0.091 [0.04, 0.149];0.07 [0.019, 0.131];1;Inf
0.096 [0.048, 0.146];0.134 [0.058, 0.223];0.039 [-0.064, 0.124];0.76;3.2
0.018 [0, 0.039];0.017 [0.004, 0.031];-0.001 [-0.026, 0.021];0.49;1
0.089 [0.035, 0.134];0.061 [0.029, 0.1];-0.028 [-0.091, 0.042];0.19;0.2
