CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.001 [0, 0.001];0.138 [0.097, 0.189];0.138 [0.093, 0.187];1;Inf
0.034 [0.015, 0.064];0.024 [0.004, 0.043];-0.01 [-0.046, 0.021];0.26;0.3
0.013 [0.001, 0.032];0.042 [0.004, 0.091];0.029 [-0.013, 0.089];0.88;7
0.05 [0.018, 0.084];0.06 [0.019, 0.108];0.011 [-0.053, 0.064];0.62;1.6
0.042 [0.015, 0.076];0.066 [0.044, 0.093];0.024 [-0.018, 0.057];0.88;7
0.052 [0.015, 0.09];0.088 [0.036, 0.149];0.036 [-0.023, 0.108];0.86;6.1
0.031 [0.012, 0.053];0.091 [0.044, 0.143];0.06 [0.005, 0.114];0.99;149
0.011 [0.001, 0.023];0.078 [0.04, 0.122];0.066 [0.029, 0.114];1;Inf
0.002 [0, 0.007];0.022 [0.005, 0.041];0.02 [0.001, 0.039];1;224
0.025 [0.006, 0.047];0.098 [0.046, 0.16];0.073 [0.021, 0.14];1;224
0.095 [0.041, 0.166];0.066 [0.02, 0.116];-0.029 [-0.113, 0.048];0.27;0.4
0.008 [0.002, 0.019];0.046 [0.016, 0.079];0.038 [0.003, 0.07];0.99;89
0.073 [0.039, 0.106];0.116 [0.065, 0.172];0.043 [-0.017, 0.115];0.9;9.2
0.05 [0.026, 0.079];0.068 [0.043, 0.099];0.018 [-0.019, 0.064];0.8;3.9
0.028 [0.01, 0.054];0.132 [0.046, 0.217];0.104 [0.018, 0.195];1;224
0.031 [0.016, 0.05];0.174 [0.118, 0.23];0.144 [0.084, 0.215];1;224
0.12 [0.088, 0.149];0.056 [0.022, 0.095];-0.064 [-0.111, -0.014];0.01;0
0.01 [0.001, 0.023];0.084 [0.041, 0.129];0.074 [0.025, 0.117];1;Inf
0.009 [0.004, 0.017];0.036 [0.009, 0.066];0.027 [0.001, 0.058];0.99;74
0.076 [0.044, 0.112];0.06 [0.022, 0.101];-0.016 [-0.067, 0.045];0.25;0.3
0.084 [0.045, 0.118];0.119 [0.065, 0.166];0.035 [-0.028, 0.093];0.87;6.6
0.022 [0, 0.047];0.068 [0.023, 0.113];0.046 [-0.005, 0.106];0.95;18.6
0.058 [0.034, 0.087];0.054 [0.026, 0.093];-0.003 [-0.047, 0.039];0.44;0.8
0.077 [0.044, 0.117];0.039 [0.019, 0.069];-0.038 [-0.083, 0.003];0.06;0.1
0.024 [0.011, 0.043];0.04 [0.014, 0.067];0.016 [-0.018, 0.045];0.83;4.9
0.092 [0.05, 0.135];0.197 [0.096, 0.285];0.106 [-0.006, 0.202];0.97;33.6
0.059 [0.032, 0.101];0.042 [0.021, 0.067];-0.018 [-0.055, 0.026];0.21;0.3
0.071 [0.024, 0.126];0.085 [0.022, 0.158];0.014 [-0.074, 0.111];0.61;1.6
0.072 [0.017, 0.109];0.058 [0.022, 0.097];-0.014 [-0.069, 0.04];0.29;0.4
0.018 [0.009, 0.028];0.107 [0.067, 0.153];0.089 [0.043, 0.13];1;Inf
0.034 [0, 0.073];0.04 [0.004, 0.131];0.006 [-0.078, 0.105];0.48;0.9
0.052 [0.026, 0.085];0.058 [0.032, 0.084];0.006 [-0.033, 0.046];0.6;1.5
0.11 [0.036, 0.186];0.104 [0.04, 0.169];-0.006 [-0.104, 0.104];0.44;0.8
0 [0, 0.001];0.06 [0.021, 0.105];0.059 [0.021, 0.105];1;Inf
0.046 [0.028, 0.065];0.069 [0.018, 0.119];0.024 [-0.031, 0.077];0.78;3.5
0.059 [0.02, 0.101];0.075 [0.033, 0.123];0.016 [-0.047, 0.08];0.69;2.2
0.082 [0.042, 0.126];0.169 [0.089, 0.248];0.087 [-0.002, 0.175];0.97;29
0.021 [0.002, 0.041];0.084 [0.033, 0.14];0.064 [0.003, 0.127];0.97;36.5
0.023 [0.01, 0.037];0.068 [0.036, 0.103];0.045 [0.011, 0.086];0.99;149
0.106 [0.071, 0.144];0.197 [0.106, 0.282];0.091 [-0.016, 0.175];0.96;22.7
0.035 [0.015, 0.054];0.078 [0.033, 0.139];0.043 [-0.011, 0.102];0.93;14
0.103 [0.071, 0.144];0.094 [0.066, 0.121];-0.009 [-0.051, 0.041];0.36;0.6
0.073 [0.025, 0.105];0.037 [0.012, 0.067];-0.036 [-0.086, 0.008];0.07;0.1
0.005 [0.003, 0.008];0.081 [0.049, 0.115];0.076 [0.044, 0.111];1;Inf
0.012 [0, 0.032];0.118 [0.046, 0.195];0.106 [0.023, 0.187];1;449
0.065 [0.017, 0.116];0.119 [0.072, 0.17];0.053 [-0.02, 0.117];0.92;11.2
0.022 [0.008, 0.043];0.092 [0.044, 0.142];0.069 [0.015, 0.125];1;449
0.093 [0.048, 0.137];0.13 [0.055, 0.224];0.037 [-0.048, 0.147];0.76;3.2
0.017 [0.001, 0.038];0.018 [0.004, 0.034];0.001 [-0.025, 0.029];0.57;1.3
0.091 [0.037, 0.143];0.058 [0.022, 0.097];-0.033 [-0.101, 0.029];0.16;0.2
