LC_LR2_beta_env	LC_LR2_R2_env	LC_LR2_Q	LC_LR2_pQ	LC_LR2_BF
0.004 [0.002, 0.005]	0.215 [0.131, 0.315]	0.132 [0.043, 0.202]	1.00	99.0
0.003 [0.001, 0.004]	0.072 [0.023, 0.130]	0.030 [-0.005, 0.069]	0.96	10.1
0.002 [0.000, 0.003]	0.061 [0.009, 0.143]	0.049 [-0.002, 0.094]	0.99	5.7
0.004 [0.003, 0.005]	0.157 [0.091, 0.208]	0.075 [0.023, 0.110]	1.00	32.3
0.003 [0.002, 0.004]	0.111 [0.061, 0.150]	0.064 [0.028, 0.092]	1.00	>99
0.004 [0.002, 0.005]	0.143 [0.069, 0.221]	0.065 [0.014, 0.129]	0.99	49.0
0.003 [0.002, 0.005]	0.151 [0.070, 0.218]	0.111 [0.050, 0.171]	1.00	49.0
0.003 [0.002, 0.003]	0.121 [0.063, 0.182]	0.085 [0.050, 0.145]	1.00	>99
0.002 [0.001, 0.003]	0.043 [0.015, 0.076]	0.025 [0.002, 0.059]	0.98	2.8
0.003 [0.001, 0.005]	0.111 [0.037, 0.182]	0.087 [0.027, 0.154]	1.00	11.5
0.005 [0.003, 0.008]	0.263 [0.094, 0.401]	0.050 [-0.047, 0.177]	0.82	-
0.004 [0.002, 0.005]	0.111 [0.049, 0.161]	0.019 [-0.027, 0.067]	0.82	-
0.004 [0.003, 0.005]	0.157 [0.086, 0.222]	0.081 [0.039, 0.139]	1.00	>99
0.004 [0.003, 0.006]	0.087 [0.048, 0.132]	0.057 [0.016, 0.092]	1.00	>99
0.004 [0.003, 0.005]	0.209 [0.129, 0.289]	0.107 [0.044, 0.164]	1.00	99.0
0.004 [0.003, 0.007]	0.255 [0.136, 0.402]	0.048 [-0.084, 0.123]	0.81	-
0.003 [0.002, 0.004]	0.166 [0.101, 0.212]	0.079 [0.022, 0.139]	1.00	49.0
0.004 [0.002, 0.006]	0.159 [0.093, 0.268]	0.075 [0.009, 0.144]	0.99	11.5
0.002 [0.001, 0.003]	0.079 [0.017, 0.137]	0.060 [0.012, 0.106]	1.00	>99
0.003 [0.002, 0.004]	0.126 [0.066, 0.180]	0.040 [0.000, 0.091]	0.97	5.2
0.004 [0.003, 0.005]	0.228 [0.151, 0.306]	0.117 [0.047, 0.180]	1.00	>99
0.004 [0.002, 0.006]	0.149 [0.064, 0.231]	0.106 [0.041, 0.189]	0.99	>99
0.002 [0.001, 0.004]	0.101 [0.042, 0.179]	0.046 [-0.003, 0.096]	0.97	11.5
0.004 [0.002, 0.005]	0.137 [0.068, 0.205]	0.079 [0.033, 0.133]	1.00	24.0
0.003 [0.002, 0.004]	0.080 [0.034, 0.131]	0.052 [0.019, 0.093]	1.00	>99
0.003 [0.002, 0.005]	0.183 [0.100, 0.249]	0.075 [0.018, 0.156]	0.99	49.0
0.003 [0.002, 0.004]	0.103 [0.052, 0.164]	0.044 [0.001, 0.092]	0.97	7.3
0.004 [0.002, 0.006]	0.115 [0.034, 0.192]	0.085 [0.020, 0.149]	1.00	32.3
0.005 [0.003, 0.006]	0.147 [0.075, 0.232]	0.079 [0.018, 0.125]	1.00	>99
0.003 [0.000, 0.004]	0.112 [0.008, 0.168]	0.072 [0.001, 0.118]	0.99	19.0
0.007 [0.003, 0.010]	0.225 [0.066, 0.386]	0.051 [-0.080, 0.156]	0.86	-
0.003 [0.002, 0.004]	0.125 [0.056, 0.176]	0.076 [0.028, 0.122]	0.97	32.3
0.003 [0.002, 0.005]	0.143 [0.079, 0.211]	0.059 [0.016, 0.118]	0.99	99.0
0.002 [0.002, 0.003]	0.066 [0.030, 0.101]	0.048 [0.016, 0.081]	1.00	6.1
0.003 [0.002, 0.004]	0.111 [0.046, 0.175]	0.052 [0.002, 0.106]	1.00	24.0
0.003 [0.002, 0.005]	0.174 [0.101, 0.257]	0.120 [0.045, 0.186]	1.00	>99
0.004 [0.002, 0.006]	0.187 [0.098, 0.275]	0.095 [0.029, 0.154]	1.00	99.0
0.003 [0.002, 0.004]	0.085 [0.038, 0.154]	0.061 [0.022, 0.116]	1.00	49.0
0.003 [0.002, 0.004]	0.116 [0.071, 0.181]	0.064 [0.016, 0.102]	1.00	>99
0.005 [0.004, 0.007]	0.222 [0.128, 0.307]	0.134 [0.051, 0.207]	1.00	>99
0.003 [0.002, 0.004]	0.099 [0.035, 0.162]	0.060 [0.004, 0.114]	0.99	49.0
0.003 [0.002, 0.004]	0.102 [0.068, 0.141]	0.020 [-0.005, 0.045]	0.92	2.0
0.003 [0.002, 0.004]	0.126 [0.056, 0.187]	0.071 [0.029, 0.120]	1.00	49.0
0.005 [0.003, 0.006]	0.211 [0.125, 0.301]	0.161 [0.081, 0.226]	1.00	>99
0.004 [0.003, 0.005]	0.247 [0.131, 0.363]	0.184 [0.105, 0.303]	1.00	>99
0.003 [0.002, 0.005]	0.184 [0.089, 0.278]	0.133 [0.053, 0.210]	1.00	49.0
0.004 [0.002, 0.007]	0.181 [0.089, 0.254]	0.119 [0.056, 0.182]	1.00	99.0
0.004 [0.003, 0.005]	0.214 [0.116, 0.316]	0.189 [0.088, 0.275]	1.00	49.0
0.003 [0.002, 0.004]	0.087 [0.045, 0.127]	0.029 [-0.004, 0.059]	0.95	11.5
0.003 [0.002, 0.005]	0.089 [0.036, 0.147]	0.038 [-0.016, 0.094]	0.90	-
