LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.091 [0.053, 0.137]	0.208 [0.117, 0.301]	0.117 [0.022, 0.214]	0.98	63.3
0.048 [0.024, 0.079]	0.072 [0.030, 0.121]	0.024 [-0.026, 0.074]	0.80	3.9
0.014 [0.000, 0.029]	0.093 [0.016, 0.165]	0.079 [0.004, 0.155]	0.99	111.5
0.083 [0.045, 0.122]	0.151 [0.080, 0.224]	0.068 [-0.012, 0.156]	0.93	13.1
0.042 [0.019, 0.071]	0.100 [0.065, 0.137]	0.058 [0.008, 0.102]	0.99	111.5
0.066 [0.025, 0.108]	0.147 [0.077, 0.216]	0.081 [0.008, 0.158]	0.99	111.5
0.063 [0.022, 0.100]	0.133 [0.066, 0.201]	0.070 [0.005, 0.150]	0.98	44.0
0.036 [0.013, 0.063]	0.118 [0.062, 0.164]	0.082 [0.017, 0.132]	1.00	224.0
0.026 [0.010, 0.048]	0.044 [0.014, 0.074]	0.019 [-0.013, 0.061]	0.84	5.1
0.026 [0.009, 0.050]	0.091 [0.039, 0.144]	0.064 [0.003, 0.120]	0.99	89.0
0.179 [0.078, 0.284]	0.203 [0.071, 0.334]	0.024 [-0.148, 0.200]	0.60	1.5
0.066 [0.026, 0.104]	0.069 [0.026, 0.118]	0.003 [-0.055, 0.068]	0.52	1.1
0.067 [0.041, 0.095]	0.129 [0.060, 0.199]	0.063 [-0.014, 0.134]	0.95	18.6
0.023 [0.009, 0.038]	0.080 [0.041, 0.126]	0.057 [0.016, 0.101]	1.00	>99
0.103 [0.056, 0.147]	0.201 [0.102, 0.271]	0.098 [-0.001, 0.182]	0.97	33.6
0.252 [0.152, 0.369]	0.282 [0.172, 0.396]	0.030 [-0.121, 0.171]	0.68	2.1
0.095 [0.061, 0.132]	0.168 [0.112, 0.222]	0.073 [0.001, 0.131]	0.97	33.6
0.097 [0.029, 0.160]	0.142 [0.070, 0.230]	0.046 [-0.053, 0.164]	0.81	4.2
0.020 [0.006, 0.038]	0.064 [0.022, 0.122]	0.045 [-0.003, 0.102]	0.97	29.0
0.066 [0.034, 0.103]	0.092 [0.049, 0.136]	0.026 [-0.026, 0.082]	0.82	4.5
0.098 [0.044, 0.144]	0.202 [0.121, 0.271]	0.105 [0.008, 0.186]	1.00	224.0
0.030 [0.005, 0.061]	0.128 [0.056, 0.205]	0.098 [0.018, 0.174]	1.00	449.0
0.054 [0.024, 0.085]	0.098 [0.045, 0.155]	0.044 [-0.018, 0.115]	0.90	9.2
0.050 [0.018, 0.080]	0.121 [0.068, 0.178]	0.071 [0.009, 0.139]	0.98	49.0
0.023 [0.010, 0.042]	0.067 [0.030, 0.117]	0.044 [0.002, 0.093]	0.98	63.3
0.117 [0.084, 0.157]	0.215 [0.106, 0.308]	0.098 [-0.019, 0.200]	0.96	24.0
0.055 [0.020, 0.092]	0.102 [0.051, 0.152]	0.047 [-0.018, 0.110]	0.91	10.5
0.032 [0.006, 0.065]	0.127 [0.060, 0.216]	0.095 [0.010, 0.181]	0.98	63.3
0.050 [0.012, 0.095]	0.140 [0.076, 0.225]	0.090 [-0.001, 0.168]	0.97	36.5
0.046 [0.022, 0.074]	0.152 [0.089, 0.203]	0.106 [0.047, 0.168]	1.00	449.0
0.193 [0.054, 0.349]	0.190 [0.054, 0.365]	-0.003 [-0.233, 0.218]	0.49	1.0
0.052 [0.029, 0.076]	0.139 [0.097, 0.191]	0.087 [0.032, 0.142]	1.00	224.0
0.081 [0.036, 0.130]	0.118 [0.041, 0.191]	0.037 [-0.046, 0.112]	0.80	4.0
0.058 [0.028, 0.089]	0.094 [0.047, 0.151]	0.037 [-0.017, 0.101]	0.89	7.8
0.056 [0.025, 0.086]	0.104 [0.042, 0.178]	0.048 [-0.027, 0.119]	0.88	7.5
0.037 [0.011, 0.073]	0.164 [0.084, 0.247]	0.127 [0.050, 0.228]	1.00	>99
0.084 [0.028, 0.143]	0.207 [0.104, 0.297]	0.123 [0.010, 0.224]	0.98	63.3
0.026 [0.007, 0.047]	0.109 [0.044, 0.187]	0.083 [0.013, 0.155]	1.00	449.0
0.035 [0.017, 0.055]	0.130 [0.079, 0.180]	0.095 [0.039, 0.146]	1.00	>99
0.098 [0.048, 0.141]	0.145 [0.086, 0.213]	0.048 [-0.024, 0.128]	0.89	8.0
0.028 [0.008, 0.050]	0.109 [0.045, 0.180]	0.081 [0.012, 0.150]	0.99	111.5
0.089 [0.064, 0.111]	0.086 [0.048, 0.120]	-0.003 [-0.047, 0.042]	0.42	0.7
0.043 [0.009, 0.076]	0.129 [0.081, 0.189]	0.086 [0.024, 0.143]	1.00	449.0
0.048 [0.020, 0.077]	0.209 [0.127, 0.291]	0.161 [0.064, 0.240]	1.00	>99
0.053 [0.013, 0.092]	0.236 [0.136, 0.349]	0.183 [0.076, 0.302]	1.00	>99
0.051 [0.014, 0.093]	0.203 [0.121, 0.289]	0.152 [0.055, 0.243]	1.00	449.0
0.053 [0.018, 0.088]	0.166 [0.096, 0.239]	0.113 [0.037, 0.188]	1.00	>99
0.035 [0.013, 0.060]	0.168 [0.063, 0.267]	0.133 [0.039, 0.244]	0.99	111.5
0.046 [0.024, 0.071]	0.079 [0.031, 0.143]	0.033 [-0.026, 0.089]	0.88	7.0
0.056 [0.023, 0.096]	0.120 [0.048, 0.196]	0.064 [-0.013, 0.153]	0.94	16.3
