CS_LR2_beta_env	CS_LR2_R2_env	CS_LR2_Q	CS_LR2_pQ	CS_LR2_BF
0.272 [0.206, 0.349]	0.179 [0.124, 0.279]	0.154 [0.037, 0.218]	1.00	32.3
0.229 [0.168, 0.287]	0.095 [0.049, 0.145]	0.048 [0.008, 0.076]	1.00	10.1
0.259 [0.129, 0.416]	0.117 [0.031, 0.220]	0.073 [0.004, 0.151]	0.99	2.4
0.146 [0.123, 0.169]	0.156 [0.122, 0.184]	0.123 [0.094, 0.146]	1.00	32.3
0.243 [0.192, 0.285]	0.115 [0.081, 0.156]	0.058 [0.014, 0.087]	1.00	49.0
0.239 [0.165, 0.287]	0.111 [0.068, 0.149]	0.018 [-0.009, 0.056]	0.81	-
0.325 [0.254, 0.396]	0.193 [0.118, 0.270]	0.113 [0.069, 0.181]	0.99	19.0
0.268 [0.203, 0.326]	0.161 [0.106, 0.217]	0.107 [0.060, 0.153]	1.00	>99
0.192 [0.111, 0.262]	0.072 [0.029, 0.115]	-0.001 [-0.036, 0.043]	0.45	-
0.243 [0.166, 0.296]	0.143 [0.084, 0.211]	0.078 [0.008, 0.169]	0.98	3.0
0.364 [0.258, 0.442]	0.219 [0.112, 0.317]	-0.127 [-0.212, -0.042]	0.02	-
0.229 [0.193, 0.293]	0.133 [0.096, 0.195]	-0.047 [-0.083, -0.010]	0.02	-
0.396 [0.328, 0.461]	0.187 [0.138, 0.240]	0.054 [0.014, 0.102]	0.98	49.0
0.221 [0.163, 0.290]	0.089 [0.047, 0.139]	0.051 [0.023, 0.083]	1.00	19.0
0.309 [0.242, 0.370]	0.162 [0.102, 0.235]	0.078 [0.010, 0.128]	1.00	11.5
0.196 [0.152, 0.239]	0.120 [0.082, 0.178]	-0.017 [-0.097, 0.043]	0.33	-
0.290 [0.200, 0.359]	0.152 [0.102, 0.212]	-0.022 [-0.074, 0.029]	0.21	-
0.312 [0.195, 0.390]	0.125 [0.067, 0.198]	0.057 [0.000, 0.118]	0.97	1.9
0.196 [0.134, 0.260]	0.102 [0.047, 0.176]	0.022 [-0.023, 0.075]	0.83	-
0.265 [0.221, 0.318]	0.145 [0.100, 0.190]	0.069 [0.038, 0.119]	1.00	24.0
0.305 [0.229, 0.356]	0.187 [0.136, 0.253]	0.035 [-0.009, 0.081]	0.95	6.1
0.168 [0.119, 0.219]	0.091 [0.047, 0.139]	0.034 [-0.013, 0.080]	0.94	2.3
0.199 [0.147, 0.238]	0.125 [0.079, 0.181]	0.020 [-0.018, 0.060]	0.79	-
0.189 [0.151, 0.251]	0.101 [0.060, 0.138]	0.053 [0.022, 0.087]	1.00	4.0
0.210 [0.150, 0.261]	0.073 [0.036, 0.107]	0.053 [0.026, 0.084]	1.00	6.1
0.257 [0.188, 0.332]	0.124 [0.062, 0.177]	-0.054 [-0.096, 0.014]	0.07	-
0.222 [0.179, 0.294]	0.097 [0.065, 0.156]	-0.047 [-0.087, -0.003]	0.02	-
0.263 [0.196, 0.353]	0.128 [0.073, 0.198]	0.090 [0.045, 0.154]	1.00	4.0
0.247 [0.172, 0.313]	0.144 [0.080, 0.207]	0.022 [-0.028, 0.072]	0.77	-
0.292 [0.235, 0.353]	0.133 [0.091, 0.189]	0.069 [0.024, 0.107]	1.00	49.0
0.262 [0.173, 0.357]	0.106 [0.045, 0.198]	-0.079 [-0.180, 0.010]	0.06	-
0.282 [0.235, 0.327]	0.128 [0.091, 0.171]	0.002 [-0.026, 0.033]	0.51	-
0.282 [0.184, 0.386]	0.125 [0.057, 0.183]	0.024 [-0.024, 0.067]	0.87	-
0.229 [0.175, 0.297]	0.107 [0.068, 0.153]	0.094 [0.034, 0.135]	1.00	15.7
0.215 [0.146, 0.276]	0.084 [0.044, 0.138]	-0.043 [-0.080, 0.004]	0.05	-
0.307 [0.239, 0.363]	0.196 [0.130, 0.264]	0.129 [0.065, 0.181]	1.00	13.3
0.407 [0.303, 0.549]	0.165 [0.094, 0.227]	0.050 [-0.031, 0.130]	0.84	-
0.262 [0.189, 0.354]	0.116 [0.065, 0.172]	0.059 [0.005, 0.118]	0.97	99.0
0.150 [0.119, 0.175]	0.081 [0.054, 0.106]	0.009 [-0.009, 0.029]	0.81	-
0.336 [0.270, 0.413]	0.210 [0.130, 0.272]	0.147 [0.084, 0.212]	1.00	11.5
0.251 [0.165, 0.311]	0.114 [0.061, 0.168]	0.031 [-0.025, 0.064]	0.94	99.0
0.222 [0.157, 0.278]	0.096 [0.065, 0.139]	0.009 [-0.017, 0.047]	0.70	-
0.229 [0.174, 0.283]	0.114 [0.065, 0.165]	0.013 [-0.021, 0.064]	0.70	-
0.329 [0.262, 0.403]	0.177 [0.129, 0.231]	0.137 [0.094, 0.184]	1.00	24.0
0.250 [0.202, 0.307]	0.188 [0.132, 0.261]	0.100 [0.052, 0.169]	1.00	49.0
0.312 [0.248, 0.387]	0.206 [0.137, 0.289]	0.077 [0.027, 0.138]	1.00	99.0
0.422 [0.345, 0.511]	0.204 [0.138, 0.266]	0.158 [0.089, 0.209]	1.00	>99
0.279 [0.213, 0.353]	0.207 [0.109, 0.267]	0.148 [0.067, 0.210]	1.00	10.1
0.153 [0.107, 0.199]	0.057 [0.029, 0.090]	-0.031 [-0.066, 0.001]	0.05	-
0.178 [0.125, 0.236]	0.067 [0.034, 0.091]	0.014 [-0.011, 0.043]	0.84	-
