LC_R2_null;LC_R2_env;LC_Q;LC_pQ;LC_BF
0.087 [0.056, 0.118];0.164 [0.164, 0.164];0.077 [0.047, 0.108];1;Inf
0.047 [0.022, 0.075];0.087 [0.087, 0.087];0.04 [0.012, 0.065];0.99;99
0.012 [0, 0.031];0.138 [0.138, 0.138];0.126 [0.107, 0.138];1;Inf
0.083 [0.043, 0.122];0.164 [0.164, 0.164];0.081 [0.042, 0.121];1;Inf
0.038 [0.016, 0.06];0.127 [0.127, 0.127];0.089 [0.067, 0.111];1;Inf
0.066 [0.031, 0.119];0.097 [0.097, 0.097];0.031 [-0.021, 0.066];0.93;13.3
0.061 [0.016, 0.089];0.124 [0.124, 0.124];0.063 [0.035, 0.108];1;Inf
0.037 [0.011, 0.07];0.144 [0.144, 0.144];0.107 [0.074, 0.133];1;Inf
0.027 [0.009, 0.045];0.045 [0.045, 0.045];0.019 [0.001, 0.036];0.98;49
0.026 [0.009, 0.045];0.116 [0.116, 0.116];0.09 [0.072, 0.108];1;Inf
0.178 [0.093, 0.282];0.142 [0.142, 0.142];-0.036 [-0.14, 0.049];0.24;0.3
0.067 [0.029, 0.111];0.038 [0.038, 0.038];-0.029 [-0.073, 0.009];0.1;0.1
0.068 [0.042, 0.098];0.203 [0.203, 0.203];0.135 [0.106, 0.162];1;Inf
0.024 [0.009, 0.04];0.06 [0.06, 0.06];0.036 [0.02, 0.051];1;Inf
0.105 [0.056, 0.14];0.287 [0.287, 0.287];0.182 [0.147, 0.231];1;Inf
0.257 [0.154, 0.383];0.195 [0.195, 0.195];-0.062 [-0.188, 0.04];0.09;0.1
0.095 [0.061, 0.135];0.181 [0.181, 0.181];0.086 [0.047, 0.12];1;Inf
0.094 [0.045, 0.154];0.138 [0.138, 0.138];0.044 [-0.016, 0.092];0.91;10.1
0.021 [0.005, 0.04];0.087 [0.087, 0.087];0.067 [0.048, 0.082];1;Inf
0.068 [0.037, 0.106];0.102 [0.102, 0.102];0.034 [-0.003, 0.065];0.95;19
0.099 [0.05, 0.137];0.237 [0.237, 0.237];0.138 [0.1, 0.188];1;Inf
0.03 [0.004, 0.06];0.085 [0.085, 0.085];0.055 [0.025, 0.08];1;Inf
0.052 [0.024, 0.081];0.132 [0.132, 0.132];0.08 [0.051, 0.108];1;Inf
0.051 [0.018, 0.078];0.098 [0.098, 0.098];0.047 [0.02, 0.079];1;Inf
0.022 [0.006, 0.036];0.051 [0.051, 0.051];0.03 [0.015, 0.045];1;Inf
0.116 [0.082, 0.151];0.138 [0.138, 0.138];0.022 [-0.013, 0.057];0.86;6.1
0.054 [0.019, 0.091];0.081 [0.081, 0.081];0.027 [-0.01, 0.062];0.9;9
0.033 [0.005, 0.067];0.102 [0.102, 0.102];0.069 [0.035, 0.097];1;Inf
0.058 [0.019, 0.093];0.102 [0.102, 0.102];0.043 [0.008, 0.082];0.98;49
0.047 [0.022, 0.073];0.165 [0.165, 0.165];0.119 [0.092, 0.143];1;Inf
0.187 [0.064, 0.322];0.126 [0.126, 0.126];-0.061 [-0.196, 0.061];0.25;0.3
0.052 [0.03, 0.076];0.161 [0.161, 0.161];0.108 [0.085, 0.13];1;Inf
0.08 [0.041, 0.128];0.096 [0.096, 0.096];0.015 [-0.032, 0.055];0.79;3.8
0.061 [0.033, 0.095];0.115 [0.115, 0.115];0.054 [0.02, 0.081];1;Inf
0.056 [0.023, 0.083];0.107 [0.107, 0.107];0.051 [0.024, 0.084];1;Inf
0.04 [0.012, 0.076];0.155 [0.155, 0.155];0.116 [0.08, 0.144];1;Inf
0.083 [0.033, 0.149];0.222 [0.222, 0.222];0.139 [0.073, 0.189];1;Inf
0.025 [0.008, 0.046];0.102 [0.102, 0.102];0.077 [0.056, 0.094];1;Inf
0.035 [0.018, 0.051];0.161 [0.161, 0.161];0.126 [0.109, 0.142];1;Inf
0.098 [0.05, 0.153];0.193 [0.193, 0.193];0.095 [0.04, 0.143];1;Inf
0.031 [0.013, 0.048];0.156 [0.156, 0.156];0.125 [0.108, 0.142];1;Inf
0.087 [0.062, 0.12];0.078 [0.078, 0.078];-0.01 [-0.042, 0.016];0.17;0.2
0.043 [0.017, 0.085];0.115 [0.115, 0.115];0.072 [0.029, 0.098];1;Inf
0.05 [0.021, 0.09];0.252 [0.252, 0.252];0.202 [0.162, 0.23];1;Inf
0.048 [0.012, 0.085];0.229 [0.229, 0.229];0.181 [0.144, 0.217];1;Inf
0.048 [0.012, 0.091];0.176 [0.176, 0.176];0.129 [0.086, 0.164];1;Inf
0.055 [0.015, 0.1];0.157 [0.157, 0.157];0.101 [0.057, 0.141];1;Inf
0.036 [0.019, 0.058];0.108 [0.108, 0.108];0.072 [0.05, 0.089];1;Inf
0.047 [0.025, 0.065];0.111 [0.111, 0.111];0.064 [0.046, 0.086];1;Inf
0.054 [0.027, 0.092];0.117 [0.117, 0.117];0.063 [0.025, 0.091];1;Inf
