CGT_R2_null;CGT_R2_env;CGT_Q;CGT_pQ;CGT_BF
0.095 [0.052, 0.15];0.135 [0.082, 0.209];0.041 [-0.041, 0.123];0.84;5.2
0.04 [0.02, 0.067];0.057 [0.024, 0.101];0.016 [-0.024, 0.07];0.76;3.2
0.015 [0.001, 0.039];0.026 [0, 0.061];0.011 [-0.024, 0.051];0.7;2.3
0.091 [0.051, 0.131];0.12 [0.071, 0.185];0.029 [-0.041, 0.093];0.79;3.8
0.049 [0.018, 0.072];0.063 [0.029, 0.083];0.014 [-0.038, 0.051];0.79;3.8
0.09 [0.054, 0.132];0.11 [0.059, 0.166];0.02 [-0.04, 0.082];0.68;2.1
0.043 [0.013, 0.078];0.08 [0.041, 0.117];0.037 [-0.012, 0.09];0.91;10.1
0.036 [0.016, 0.067];0.06 [0.025, 0.089];0.023 [-0.016, 0.059];0.9;9
0.022 [0.008, 0.036];0.024 [0.015, 0.037];0.002 [-0.015, 0.022];0.56;1.3
0.028 [0.004, 0.059];0.057 [0.023, 0.092];0.029 [-0.011, 0.069];0.88;7.3
0.234 [0.123, 0.333];0.246 [0.135, 0.383];0.013 [-0.137, 0.187];0.53;1.1
0.104 [0.05, 0.147];0.118 [0.07, 0.176];0.014 [-0.051, 0.103];0.68;2.1
0.073 [0.038, 0.105];0.11 [0.066, 0.154];0.037 [-0.013, 0.104];0.9;9
0.031 [0.013, 0.05];0.05 [0.028, 0.076];0.019 [-0.004, 0.051];0.89;8.1
0.103 [0.062, 0.151];0.13 [0.081, 0.19];0.028 [-0.048, 0.087];0.76;3.2
0.2 [0.124, 0.287];0.281 [0.167, 0.416];0.081 [-0.062, 0.24];0.83;4.9
0.11 [0.079, 0.144];0.143 [0.098, 0.185];0.033 [-0.016, 0.084];0.87;6.7
0.103 [0.055, 0.182];0.117 [0.044, 0.18];0.014 [-0.077, 0.126];0.65;1.9
0.021 [0.004, 0.044];0.036 [0.009, 0.065];0.015 [-0.021, 0.057];0.82;4.6
0.1 [0.057, 0.147];0.14 [0.101, 0.199];0.04 [-0.017, 0.112];0.86;6.1
0.113 [0.054, 0.162];0.126 [0.073, 0.179];0.014 [-0.06, 0.094];0.65;1.9
0.042 [0.007, 0.081];0.059 [0.021, 0.103];0.017 [-0.039, 0.075];0.69;2.2
0.061 [0.026, 0.101];0.09 [0.045, 0.14];0.029 [-0.027, 0.101];0.77;3.3
0.062 [0.023, 0.099];0.082 [0.032, 0.128];0.02 [-0.049, 0.091];0.72;2.6
0.028 [0.014, 0.052];0.043 [0.005, 0.074];0.015 [-0.02, 0.063];0.82;4.6
0.117 [0.077, 0.162];0.163 [0.103, 0.22];0.046 [-0.028, 0.102];0.84;5.2
0.055 [0.024, 0.098];0.079 [0.042, 0.134];0.024 [-0.037, 0.093];0.82;4.6
0.029 [0.005, 0.061];0.088 [0.035, 0.142];0.058 [-0.004, 0.115];0.94;15.7
0.064 [0.017, 0.116];0.094 [0.02, 0.153];0.029 [-0.069, 0.108];0.77;3.3
0.036 [0.014, 0.062];0.062 [0.027, 0.093];0.026 [-0.006, 0.076];0.93;13.3
0.166 [0.058, 0.291];0.231 [0.103, 0.404];0.065 [-0.122, 0.268];0.7;2.3
0.049 [0.025, 0.081];0.087 [0.033, 0.122];0.038 [-0.019, 0.081];0.94;15.7
0.085 [0.039, 0.137];0.103 [0.058, 0.159];0.018 [-0.051, 0.074];0.74;2.8
0.055 [0.029, 0.087];0.08 [0.041, 0.127];0.025 [-0.018, 0.084];0.86;6.1
0.058 [0.031, 0.089];0.082 [0.045, 0.134];0.024 [-0.026, 0.085];0.78;3.5
0.054 [0.02, 0.107];0.129 [0.075, 0.198];0.075 [-0.009, 0.147];0.96;24
0.097 [0.038, 0.157];0.156 [0.079, 0.265];0.058 [-0.04, 0.186];0.83;4.9
0.022 [0.007, 0.043];0.052 [0.02, 0.091];0.031 [-0.01, 0.066];0.97;32.3
0.058 [0.029, 0.089];0.078 [0.046, 0.121];0.02 [-0.019, 0.084];0.83;4.9
0.088 [0.052, 0.141];0.105 [0.049, 0.159];0.017 [-0.045, 0.091];0.7;2.3
0.039 [0.015, 0.059];0.065 [0.035, 0.101];0.026 [-0.01, 0.071];0.9;9
0.082 [0.063, 0.099];0.092 [0.066, 0.125];0.01 [-0.026, 0.045];0.73;2.7
0.06 [0.015, 0.101];0.115 [0.064, 0.168];0.055 [-0.016, 0.113];0.95;19
0.049 [0.024, 0.079];0.101 [0.037, 0.148];0.052 [-0.003, 0.129];0.95;19
0.049 [0.006, 0.095];0.154 [0.072, 0.218];0.104 [0.043, 0.203];0.97;32.3
0.045 [0.018, 0.098];0.086 [0.033, 0.144];0.04 [-0.027, 0.126];0.86;6.1
0.06 [0.022, 0.094];0.109 [0.041, 0.195];0.049 [-0.038, 0.126];0.87;6.7
0.028 [0.012, 0.049];0.047 [0.018, 0.097];0.019 [-0.025, 0.079];0.91;10.1
0.064 [0.036, 0.091];0.07 [0.047, 0.096];0.006 [-0.032, 0.044];0.62;1.6
0.06 [0.015, 0.11];0.054 [0.023, 0.099];-0.006 [-0.084, 0.042];0.47;0.9
