node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
102,103,1.25,-79.2580235495184,38.153859826174,-79.3505038587638,38.1468851857852,1.25,0,1971.99999966667,1973.24999966667,NA
102,140,0.583333333299997,-79.2580235495184,38.153859826174,-79.0737798071797,38.2424498083383,0.583333333299997,0,1971.99999966667,1972.58333299997,NA
140,160,3.416666667,-79.0737798071797,38.2424498083383,-79.1416483161834,38.226486954715,4.0000000003,0.583333333299997,1972.58333299997,1975.99999966697,NA
160,176,0.166666666700003,-79.1416483161834,38.226486954715,-79.1101648898845,38.2525813789432,4.166666667,4.0000000003,1975.99999966697,1976.16666633367,NA
140,141,5,-79.0737798071797,38.2424498083383,-78.947363313423,37.8819450406154,5.5833333333,0.583333333299997,1972.58333299997,1977.58333299997,NA
176,183,2,-79.1101648898845,38.2525813789432,-78.7673829720063,39.847079145066,6.166666667,4.166666667,1976.16666633367,1978.16666633367,NA
103,104,5.583333333,-79.3505038587638,38.1468851857852,-79.9788763054483,39.4621393239487,6.833333333,1.25,1973.24999966667,1978.83333299967,NA
160,161,3.333333333,-79.1416483161834,38.226486954715,-79.3010477906314,37.6249921979218,7.3333333333,4.0000000003,1975.99999966697,1979.33333299997,NA
103,110,6.416666667,-79.3505038587638,38.1468851857852,-79.4517993815716,38.8007082285973,7.666666667,1.25,1973.24999966667,1979.66666633367,NA
110,111,0.0833333333299997,-79.4517993815716,38.8007082285973,-79.5177385947475,38.8171932673294,7.75000000033,7.666666667,1979.66666633367,1979.749999667,NA
161,166,1,-79.3010477906314,37.6249921979218,-80.2090308008812,37.3973430383681,8.3333333333,7.3333333333,1979.33333299997,1980.33333299997,NA
176,177,4.333333333,-79.1101648898845,38.2525813789432,-78.7755526285933,37.7217852839655,8.5,4.166666667,1976.16666633367,1980.49999966667,NA
183,185,2.333333333,-78.7673829720063,39.847079145066,-79.1327990981059,39.5607452454833,8.5,6.166666667,1978.16666633367,1980.49999966667,NA
166,168,0.416666666699999,-80.2090308008812,37.3973430383681,-79.9086457576414,38.7366131593419,8.75,8.3333333333,1980.33333299997,1980.74999966667,NA
183,184,2.666666667,-78.7673829720063,39.847079145066,-78.8799598110735,39.7786356833073,8.833333334,6.166666667,1978.16666633367,1980.83333300067,NA
141,145,3.416666667,-78.947363313423,37.8819450406154,-79.8749363603519,38.0936459660908,9.0000000003,5.5833333333,1977.58333299997,1980.99999966697,NA
104,105,2.25,-79.9788763054483,39.4621393239487,-79.9186887433912,39.3418577989786,9.083333333,6.833333333,1978.83333299967,1981.08333299967,NA
166,167,1.083333333,-80.2090308008812,37.3973430383681,-79.7299685233675,37.9634181673722,9.4166666663,8.3333333333,1980.33333299997,1981.41666633297,NA
105,106,0.75,-79.9186887433912,39.3418577989786,-79.1674149089559,39.1054577655199,9.833333333,9.083333333,1981.08333299967,1981.83333299967,NA
106,107,0.0833333333299997,-79.1674149089559,39.1054577655199,-79.1772593658665,39.0929518900543,9.91666666633,9.833333333,1981.83333299967,1981.916666333,NA
185,186,1.666666667,-79.1327990981059,39.5607452454833,-78.8064696204616,39.9560600114689,10.166666667,8.5,1980.49999966667,1982.16666633367,NA
185,189,1.666666667,-79.1327990981059,39.5607452454833,-79.2697826932159,39.7752188783501,10.166666667,8.5,1980.49999966667,1982.16666633367,NA
177,178,1.75,-78.7755526285933,37.7217852839655,-78.9294567905924,37.5571813919396,10.25,8.5,1980.49999966667,1982.24999966667,NA
106,2,0.49999966700004,-79.1674149089559,39.1054577655199,-79.478807,39.2982,10.333333,9.833333333,1981.83333299967,1982.33333266667,41
161,162,3,-79.3010477906314,37.6249921979218,-78.5487483522823,38.2642766652627,10.3333333333,7.3333333333,1979.33333299997,1982.33333299997,NA
104,1,3.666666667,-79.9788763054483,39.4621393239487,-80.2074034173467,39.3974339919104,10.5,6.833333333,1978.83333299967,1982.49999966667,17
184,82,1.666666666,-78.8799598110735,39.7786356833073,-78.823576,39.007165,10.5,8.833333334,1980.83333300067,1982.49999966667,32
107,3,0.833333333670002,-79.1772593658665,39.0929518900543,-79.549737,38.2932,10.75,9.91666666633,1981.916666333,1982.74999966667,42
162,164,0.416666666699999,-78.5487483522823,38.2642766652627,-78.4629023520155,38.250928015291,10.75,10.3333333333,1982.33333299997,1982.74999966667,NA
189,88,0.666666333000038,-79.2697826932159,39.7752188783501,-79.175616,39.375398,10.833333,10.166666667,1982.16666633367,1982.83333266667,44
