LC_R2_null;LC_R2_env;LC_Q;LC_pQ;LC_BF
0.042 [0, 0.176];0.081 [0.016, 0.162];0.04 [-0.137, 0.211];0.82;4.7
0.056 [0, 0.273];0.075 [0.011, 0.153];0.019 [-0.254, 0.165];0.76;3.1
0.019 [0, 0.069];0.08 [0.014, 0.186];0.061 [-0.032, 0.18];0.92;11.2
0.046 [0, 0.163];0.085 [0.007, 0.177];0.039 [-0.12, 0.188];0.78;3.6
0.101 [0, 0.382];0.074 [0.006, 0.164];-0.027 [-0.348, 0.172];0.57;1.3
0.018 [0, 0.056];0.079 [0.01, 0.148];0.061 [-0.026, 0.163];0.94;14.5
0.024 [0, 0.096];0.088 [0.004, 0.177];0.064 [-0.048, 0.203];0.9;9.5
0.008 [0, 0.025];0.081 [0.022, 0.153];0.073 [0.01, 0.152];0.99;74
0.077 [0, 0.381];0.093 [0.013, 0.178];0.016 [-0.332, 0.197];0.74;2.8
0.028 [0, 0.099];0.084 [0.014, 0.164];0.055 [-0.058, 0.155];0.9;9.2
