LC_beta_env	LC_R2_env	LC_Q	LC_pQ	LC_BF
20.035	0.175	0.027	0.68	-
22.064	0.171	-0.028	0.37	-
23.916	0.142	0.019	0.68	-
25.060	0.153	-0.044	0.24	-
24.332	0.130	-0.079	0.07	-
15.283	0.157	0.071	0.83	-
14.761	0.140	0.015	0.49	-
12.666	0.162	0.030	0.65	-
19.389	0.133	0.013	0.67	-
18.755	0.115	-0.070	0.11	-
