CS_LR1_beta_env	CS_LR1_R2_env	CS_LR1_Q	CS_LR1_pQ	CS_LR1_BF
1.659 [0.652, 3.274]	0.137 [0.027, 0.231]	0.055 [-0.049, 0.170]	0.88	-
1.074 [0.483, 1.880]	0.084 [0.020, 0.146]	0.017 [-0.064, 0.108]	0.64	-
1.713 [0.633, 3.399]	0.139 [0.034, 0.247]	0.075 [-0.051, 0.152]	0.94	5.2
1.382 [0.578, 2.571]	0.098 [0.000, 0.179]	0.012 [-0.088, 0.100]	0.62	-
1.478 [0.653, 2.535]	0.097 [0.022, 0.174]	-0.003 [-0.101, 0.106]	0.51	-
1.060 [0.536, 1.560]	0.129 [0.042, 0.228]	0.055 [-0.074, 0.149]	0.87	-
0.916 [0.345, 1.403]	0.078 [0.012, 0.154]	-0.002 [-0.064, 0.081]	0.46	-
1.013 [0.537, 1.478]	0.107 [0.033, 0.171]	0.047 [-0.015, 0.120]	0.91	4.0
1.468 [0.443, 2.993]	0.105 [0.007, 0.195]	-0.016 [-0.213, 0.108]	0.47	-
1.078 [0.612, 1.814]	0.087 [0.017, 0.160]	0.002 [-0.075, 0.068]	0.55	-
