LC_LR2_beta_env;LC_LR2_R2_env;LC_LR2_Q;LC_LR2_pQ;LC_LR2_BF
0.004 [0.001, 0.007];0.081 [0.001, 0.181];0.029 [-0.07, 0.149];0.75;-
0.004 [0.001, 0.008];0.081 [0.002, 0.213];0.009 [-0.201, 0.198];0.78;-
0.005 [0, 0.013];0.1 [0, 0.253];0.027 [-0.237, 0.229];0.8;-
0.005 [0.001, 0.009];0.095 [0.01, 0.219];0.01 [-0.136, 0.137];0.7;-
0.005 [0.001, 0.012];0.069 [0.004, 0.148];-0.034 [-0.282, 0.101];0.51;-
0.004 [0.001, 0.006];0.078 [0.009, 0.167];0.046 [-0.112, 0.154];0.92;15.7
0.003 [0.001, 0.006];0.082 [0.014, 0.188];0.057 [-0.002, 0.146];0.95;6.7
0.003 [0.001, 0.006];0.069 [0.018, 0.163];0.058 [0.005, 0.124];1;11.5
0.005 [0.001, 0.011];0.092 [0.004, 0.192];0.018 [-0.244, 0.164];0.78;-
0.003 [0.001, 0.006];0.065 [0.003, 0.152];0.016 [-0.125, 0.086];0.8;-
