CGT_R2_null;CGT_R2_env;CGT_Q;CGT_pQ;CGT_BF
0.082 [0, 0.415];0.122 [0.001, 0.369];0.04 [-0.351, 0.394];0.66;1.9
0.045 [0, 0.189];0.101 [0, 0.392];0.057 [-0.295, 0.394];0.67;2
0.043 [0, 0.218];0.036 [0, 0.104];-0.007 [-0.192, 0.198];0.6;1.5
0.082 [0, 0.3];0.109 [0, 0.325];0.026 [-0.245, 0.343];0.63;1.7
0.148 [0, 0.501];0.204 [0, 0.504];0.056 [-0.408, 0.552];0.62;1.7
0.033 [0, 0.153];0.037 [0, 0.096];0.004 [-0.171, 0.113];0.68;2.2
0.023 [0, 0.071];0.062 [0, 0.221];0.039 [-0.068, 0.228];0.75;2.9
0.014 [0, 0.05];0.034 [0, 0.103];0.02 [-0.07, 0.107];0.79;3.8
0.134 [0, 0.507];0.319 [0.007, 0.656];0.185 [-0.434, 0.664];0.75;3
0.061 [0, 0.221];0.101 [0, 0.308];0.04 [-0.193, 0.4];0.69;2.2
