LC_LR1_beta_env	LC_LR1_R2_env	LC_LR1_Q	LC_LR1_pQ	LC_LR1_BF
0.131 [0.055, 0.228]	0.131 [0.017, 0.219]	0.027 [-0.091, 0.148]	0.80	-
0.128 [0.067, 0.254]	0.120 [0.020, 0.216]	0.034 [-0.057, 0.143]	0.79	-
0.140 [0.050, 0.258]	0.140 [0.039, 0.275]	0.063 [-0.042, 0.150]	0.86	-
0.128 [0.053, 0.237]	0.119 [0.010, 0.237]	0.011 [-0.068, 0.104]	0.64	-
0.153 [0.065, 0.288]	0.133 [0.034, 0.255]	-0.001 [-0.159, 0.117]	0.57	-
0.108 [0.052, 0.205]	0.134 [0.044, 0.239]	0.066 [-0.024, 0.161]	0.90	-
0.111 [0.035, 0.177]	0.120 [0.022, 0.216]	0.034 [-0.019, 0.111]	0.88	-
0.095 [0.057, 0.164]	0.123 [0.046, 0.220]	0.064 [0.011, 0.117]	0.99	15.7
0.193 [0.064, 0.394]	0.165 [0.018, 0.348]	-0.022 [-0.240, 0.151]	0.50	-
0.117 [0.034, 0.212]	0.121 [0.019, 0.240]	0.023 [-0.070, 0.092]	0.75	-
