LC_LR1_beta_env;LC_LR1_R2_env;LC_LR1_Q;LC_LR1_pQ;LC_LR1_BF
0.115 [0.061, 0.19];0.126 [0, 0.247];0.04 [-0.062, 0.164];0.84;-
0.132 [0.052, 0.221];0.127 [0.013, 0.255];0.03 [-0.125, 0.158];0.79;-
0.153 [-0.021, 0.327];0.137 [0.001, 0.285];0.035 [-0.164, 0.161];0.8;-
0.145 [0.061, 0.253];0.134 [0.039, 0.26];0.013 [-0.11, 0.082];0.66;-
0.151 [0.05, 0.297];0.111 [0.018, 0.201];-0.014 [-0.16, 0.083];0.49;-
0.112 [0.047, 0.185];0.128 [0.028, 0.22];0.059 [-0.078, 0.137];0.93;32.3
0.107 [0.055, 0.155];0.133 [0.031, 0.231];0.059 [-0.011, 0.148];0.95;6.1
0.099 [0.052, 0.151];0.127 [0.052, 0.236];0.073 [0.018, 0.15];0.98;19
0.134 [0.038, 0.272];0.14 [0.037, 0.245];0.038 [-0.139, 0.155];0.8;-
0.117 [0.042, 0.201];0.113 [0.011, 0.222];0.015 [-0.071, 0.102];0.73;-
