LC_beta_env;LC_R2_env;LC_Q;LC_pQ;LC_BF
20.035 [7.886, 37.13];0.175 [0.066, 0.26];0.027 [-0.127, 0.154];0.68;-
22.064 [10.483, 40.903];0.171 [0.082, 0.243];-0.028 [-0.144, 0.134];0.37;-
23.916 [4.745, 52.537];0.142 [0.029, 0.244];0.019 [-0.149, 0.145];0.68;-
25.06 [8.394, 63.293];0.153 [0.074, 0.249];-0.044 [-0.146, 0.138];0.24;-
24.332 [12.191, 45.558];0.13 [0.058, 0.211];-0.079 [-0.156, 0.052];0.07;-
15.283 [5.387, 30.993];0.157 [0.054, 0.236];0.071 [-0.087, 0.156];0.83;-
14.761 [5.354, 23.664];0.14 [0.065, 0.22];0.015 [-0.119, 0.147];0.49;-
12.666 [6.411, 19.917];0.162 [0.084, 0.256];0.03 [-0.085, 0.138];0.65;-
19.389 [5.086, 48.377];0.133 [0.019, 0.254];0.013 [-0.135, 0.149];0.67;-
18.755 [7.718, 37.447];0.115 [0.055, 0.197];-0.07 [-0.138, 0.049];0.11;-
