LC_LR2_beta_env	LC_LR2_R2_env	LC_LR2_Q	LC_LR2_pQ	LC_LR2_BF
0.005 [0.001, 0.009]	0.086 [0.007, 0.187]	0.013 [-0.141, 0.129]	0.70	-
0.004 [0.001, 0.009]	0.077 [0.009, 0.170]	0.024 [-0.135, 0.165]	0.76	-
0.005 [0.002, 0.010]	0.099 [0.014, 0.220]	0.057 [-0.063, 0.197]	0.86	-
0.004 [0.001, 0.009]	0.077 [0.000, 0.212]	0.011 [-0.084, 0.167]	0.65	-
0.005 [0.001, 0.012]	0.085 [0.010, 0.189]	-0.011 [-0.182, 0.116]	0.54	-
0.003 [0.001, 0.007]	0.086 [0.001, 0.202]	0.051 [-0.102, 0.163]	0.90	-
0.004 [0.001, 0.007]	0.074 [0.004, 0.158]	0.037 [-0.016, 0.131]	0.91	5.2
0.003 [0.001, 0.005]	0.067 [0.012, 0.137]	0.053 [0.012, 0.106]	0.98	11.5
0.007 [0.002, 0.015]	0.131 [0.003, 0.380]	-0.051 [-0.417, 0.137]	0.45	-
0.004 [0.000, 0.007]	0.073 [0.000, 0.149]	0.024 [-0.066, 0.115]	0.79	-
