CGT_R2_null;CGT_R2_env;CGT_Q;CGT_pQ;CGT_BF
0.933 [0.862, 0.971];0.92 [0.847, 0.97];-0.013 [-0.1, 0.086];0.43;0.8
0.925 [0.858, 0.976];0.918 [0.837, 0.961];-0.008 [-0.099, 0.075];0.44;0.8
0.913 [0.786, 0.973];0.913 [0.833, 0.969];0 [-0.115, 0.117];0.47;0.9
0.924 [0.842, 0.984];0.914 [0.835, 0.977];-0.01 [-0.133, 0.082];0.45;0.8
0.929 [0.851, 0.988];0.923 [0.803, 0.984];-0.006 [-0.186, 0.086];0.44;0.8
0.944 [0.86, 0.987];0.932 [0.829, 0.986];-0.012 [-0.173, 0.099];0.39;0.6
0.916 [0.853, 0.969];0.907 [0.825, 0.96];-0.009 [-0.127, 0.084];0.42;0.7
0.916 [0.813, 0.982];0.899 [0.822, 0.961];-0.016 [-0.145, 0.149];0.38;0.6
0.844 [0.603, 0.983];0.882 [0.667, 0.982];0.037 [-0.265, 0.34];0.68;2.1
0.783 [0.349, 0.986];0.92 [0.823, 0.99];0.137 [-0.108, 0.627];0.62;1.6
