CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.918 [0.858, 0.983]	0.919 [0.847, 0.972]	0.001 [-0.152, 0.081]	0.48	0.9
0.919 [0.799, 0.978]	0.910 [0.826, 0.970]	-0.009 [-0.154, 0.147]	0.42	0.7
0.904 [0.780, 0.974]	0.907 [0.773, 0.965]	0.002 [-0.190, 0.124]	0.52	1.1
0.923 [0.853, 0.982]	0.903 [0.787, 0.975]	-0.020 [-0.166, 0.114]	0.36	0.6
0.927 [0.852, 0.981]	0.927 [0.796, 0.981]	0.000 [-0.129, 0.135]	0.51	1.0
0.935 [0.811, 0.988]	0.928 [0.833, 0.981]	-0.007 [-0.107, 0.166]	0.44	0.8
0.914 [0.837, 0.969]	0.914 [0.843, 0.964]	0.000 [-0.102, 0.091]	0.51	1.0
0.920 [0.850, 0.969]	0.892 [0.790, 0.957]	-0.028 [-0.156, 0.084]	0.31	0.4
0.847 [0.628, 0.981]	0.879 [0.587, 0.984]	0.032 [-0.326, 0.374]	0.60	1.5
0.927 [0.856, 0.987]	0.911 [0.843, 0.988]	-0.016 [-0.097, 0.086]	0.44	0.8
