CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.531 [0.397, 0.672];0.559 [0.359, 0.757];0.028 [-0.203, 0.321];0.55;1.2
0.508 [0.398, 0.614];0.558 [0.418, 0.701];0.05 [-0.147, 0.248];0.72;2.6
0.507 [0.357, 0.653];0.524 [0.32, 0.689];0.016 [-0.256, 0.205];0.57;1.3
0.513 [0.337, 0.665];0.534 [0.356, 0.703];0.021 [-0.159, 0.243];0.56;1.3
0.582 [0.4, 0.747];0.566 [0.312, 0.825];-0.015 [-0.333, 0.343];0.45;0.8
0.544 [0.377, 0.737];0.563 [0.258, 0.864];0.019 [-0.339, 0.405];0.56;1.3
0.469 [0.339, 0.573];0.477 [0.342, 0.705];0.008 [-0.216, 0.213];0.48;0.9
0.543 [0.35, 0.682];0.557 [0.396, 0.726];0.014 [-0.196, 0.357];0.57;1.3
0.392 [0.181, 0.642];0.381 [0.126, 0.625];-0.01 [-0.344, 0.427];0.5;1
0.539 [0.382, 0.742];0.513 [0.241, 0.736];-0.026 [-0.316, 0.303];0.42;0.7
