LC_beta_env	LC_R2_env	LC_Q	LC_pQ	LC_BF
5.395	0.090	-0.136	0.00	-
5.400	0.090	-0.141	0.00	-
5.374	0.094	-0.126	0.00	-
5.367	0.089	-0.137	0.00	-
5.042	0.076	-0.129	0.00	-
5.120	0.081	-0.126	0.00	-
5.171	0.084	-0.128	0.00	-
5.583	0.095	-0.131	0.00	-
5.444	0.094	-0.135	0.00	-
10.814	0.097	-0.156	0.00	-
