LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.932 [0.862, 0.979]	0.326 [0.174, 0.594]	-0.606 [-0.790, -0.348]	0.00	0.0
0.934 [0.850, 0.983]	0.334 [0.194, 0.484]	-0.600 [-0.751, -0.417]	0.00	0.0
0.926 [0.849, 0.980]	0.323 [0.179, 0.487]	-0.603 [-0.782, -0.402]	0.00	0.0
0.934 [0.850, 0.982]	0.299 [0.143, 0.468]	-0.635 [-0.806, -0.473]	0.00	0.0
0.945 [0.879, 0.982]	0.466 [0.173, 0.801]	-0.480 [-0.784, -0.127]	0.00	0.0
0.941 [0.809, 0.987]	0.439 [0.142, 0.809]	-0.501 [-0.801, -0.130]	0.00	0.0
0.922 [0.836, 0.970]	0.315 [0.166, 0.436]	-0.608 [-0.776, -0.450]	0.00	0.0
0.922 [0.832, 0.981]	0.319 [0.125, 0.489]	-0.603 [-0.824, -0.411]	0.00	0.0
0.788 [0.489, 0.968]	0.358 [0.112, 0.764]	-0.430 [-0.882, -0.078]	0.03	0.0
0.939 [0.859, 0.988]	0.359 [0.188, 0.655]	-0.580 [-0.761, -0.287]	0.00	0.0
