LC_LR1_beta_env;LC_LR1_R2_env;LC_LR1_Q;LC_LR1_pQ;LC_LR1_BF
0.084 [0.07, 0.101];0.298 [0.214, 0.377];-0.397 [-0.475, -0.302];0;-
0.083 [0.066, 0.101];0.285 [0.207, 0.375];-0.398 [-0.48, -0.301];0;-
0.075 [0.061, 0.089];0.28 [0.186, 0.37];-0.37 [-0.457, -0.286];0;-
0.077 [0.059, 0.094];0.268 [0.19, 0.354];-0.404 [-0.492, -0.307];0;-
0.084 [0.058, 0.104];0.353 [0.185, 0.554];-0.351 [-0.484, -0.226];0.01;-
0.084 [0.067, 0.099];0.35 [0.211, 0.53];-0.372 [-0.496, -0.233];0;-
0.078 [0.067, 0.093];0.284 [0.228, 0.345];-0.383 [-0.453, -0.267];0;-
0.077 [0.062, 0.093];0.276 [0.202, 0.373];-0.386 [-0.497, -0.274];0;-
0.074 [0.027, 0.097];0.368 [0.2, 0.539];-0.185 [-0.429, -0.029];0.01;-
0.105 [0.058, 0.201];0.289 [0.096, 0.443];-0.327 [-0.492, -0.11];0;-
