CS_beta_env	CS_R2_env	CS_Q	CS_pQ	CS_BF
15.514 [14.603, 17.053]	0.216 [0.192, 0.240]	-0.095 [-0.122, -0.055]	0.00	-
14.646 [13.972, 15.677]	0.196 [0.182, 0.218]	-0.088 [-0.105, -0.071]	0.00	-
14.767 [13.837, 16.701]	0.211 [0.196, 0.254]	-0.109 [-0.125, -0.045]	0.00	-
14.511 [13.734, 15.202]	0.193 [0.177, 0.205]	-0.084 [-0.113, -0.067]	0.00	-
14.460 [13.760, 15.115]	0.193 [0.178, 0.209]	-0.111 [-0.128, -0.101]	0.00	-
14.089 [13.155, 14.946]	0.180 [0.163, 0.201]	-0.112 [-0.129, -0.086]	0.00	-
13.820 [13.212, 14.799]	0.177 [0.165, 0.197]	-0.110 [-0.127, -0.099]	0.01	-
14.233 [13.450, 15.889]	0.180 [0.163, 0.211]	-0.085 [-0.112, -0.050]	0.00	-
15.617 [14.602, 17.627]	0.187 [0.165, 0.223]	-0.069 [-0.098, -0.024]	0.02	-
14.638 [14.013, 15.498]	0.201 [0.187, 0.221]	-0.090 [-0.107, -0.067]	0.00	-
