CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.524 [0.383, 0.708]	0.574 [0.404, 0.757]	0.050 [-0.214, 0.293]	0.65	1.9
0.503 [0.372, 0.614]	0.556 [0.390, 0.704]	0.053 [-0.135, 0.265]	0.68	2.1
0.504 [0.351, 0.692]	0.491 [0.274, 0.693]	-0.013 [-0.246, 0.299]	0.46	0.8
0.517 [0.364, 0.682]	0.533 [0.343, 0.737]	0.016 [-0.249, 0.251]	0.56	1.3
0.564 [0.405, 0.727]	0.567 [0.280, 0.838]	0.003 [-0.327, 0.375]	0.51	1.0
0.565 [0.387, 0.750]	0.554 [0.151, 0.901]	-0.011 [-0.473, 0.364]	0.49	0.9
0.470 [0.346, 0.605]	0.473 [0.325, 0.636]	0.003 [-0.211, 0.191]	0.50	1.0
0.544 [0.368, 0.699]	0.558 [0.400, 0.737]	0.013 [-0.257, 0.246]	0.53	1.1
0.406 [0.168, 0.613]	0.405 [0.158, 0.650]	-0.001 [-0.290, 0.356]	0.48	0.9
0.530 [0.389, 0.707]	0.526 [0.339, 0.769]	-0.004 [-0.270, 0.271]	0.48	0.9
