CS_LR2_beta_env	CS_LR2_R2_env	CS_LR2_Q	CS_LR2_pQ	CS_LR2_BF
0.345 [0.239, 0.435]	0.241 [0.142, 0.381]	-0.193 [-0.374, -0.005]	0.03	-
0.359 [0.272, 0.451]	0.238 [0.165, 0.367]	-0.202 [-0.392, -0.052]	0.03	-
0.338 [0.252, 0.423]	0.240 [0.180, 0.338]	-0.183 [-0.369, -0.036]	0.04	-
0.332 [0.235, 0.430]	0.235 [0.112, 0.317]	-0.180 [-0.332, 0.057]	0.05	-
0.410 [0.293, 0.500]	0.349 [0.171, 0.539]	-0.171 [-0.345, -0.008]	0.02	-
0.397 [0.306, 0.494]	0.340 [0.175, 0.534]	-0.209 [-0.427, -0.066]	0.02	-
0.359 [0.297, 0.425]	0.238 [0.159, 0.314]	-0.250 [-0.393, -0.158]	0.00	-
0.352 [0.273, 0.488]	0.239 [0.118, 0.466]	-0.171 [-0.334, 0.046]	0.05	-
0.421 [0.146, 0.551]	0.320 [0.141, 0.641]	-0.058 [-0.291, 0.195]	0.35	-
0.354 [0.278, 0.451]	0.264 [0.173, 0.472]	-0.152 [-0.289, -0.012]	0.03	-
