CGT_R2_null;CGT_R2_env;CGT_Q;CGT_pQ;CGT_BF
0.959 [0.919, 0.99];0.921 [0.856, 0.984];-0.038 [-0.142, 0.035];0.15;0.2
0.961 [0.92, 0.989];0.914 [0.834, 0.97];-0.046 [-0.135, 0.043];0.1;0.1
0.956 [0.899, 0.99];0.905 [0.781, 0.976];-0.051 [-0.194, 0.051];0.14;0.2
0.96 [0.918, 0.99];0.905 [0.814, 0.98];-0.055 [-0.174, 0.041];0.11;0.1
0.958 [0.914, 0.991];0.933 [0.844, 0.987];-0.025 [-0.166, 0.06];0.27;0.4
0.961 [0.913, 0.99];0.929 [0.814, 0.988];-0.032 [-0.174, 0.082];0.27;0.4
0.956 [0.912, 0.985];0.914 [0.846, 0.969];-0.042 [-0.127, 0.035];0.12;0.1
0.955 [0.902, 0.987];0.897 [0.807, 0.969];-0.058 [-0.178, 0.036];0.1;0.1
0.929 [0.804, 0.99];0.881 [0.649, 0.984];-0.048 [-0.345, 0.185];0.32;0.5
0.966 [0.925, 0.991];0.927 [0.863, 0.987];-0.039 [-0.131, 0.037];0.16;0.2
