CS_LR1_beta_env;CS_LR1_R2_env;CS_LR1_Q;CS_LR1_pQ;CS_LR1_BF
0.757 [0.605, 0.893];0.182 [0.124, 0.247];-0.145 [-0.237, -0.06];0;-
0.714 [0.599, 0.875];0.169 [0.138, 0.232];-0.148 [-0.271, -0.085];0.01;-
0.7 [0.608, 0.82];0.175 [0.131, 0.22];-0.142 [-0.242, -0.062];0.02;-
0.708 [0.521, 0.831];0.174 [0.118, 0.224];-0.139 [-0.225, -0.033];0.02;-
0.786 [0.634, 0.964];0.215 [0.145, 0.296];-0.138 [-0.241, -0.066];0.01;-
0.795 [0.616, 0.979];0.22 [0.147, 0.322];-0.156 [-0.263, -0.078];0.01;-
0.709 [0.588, 0.824];0.167 [0.126, 0.215];-0.17 [-0.227, -0.102];0;-
0.696 [0.502, 0.894];0.172 [0.107, 0.332];-0.141 [-0.228, -0.066];0.01;-
0.696 [0.249, 0.909];0.196 [0.103, 0.343];-0.105 [-0.21, 0.009];0.03;-
0.728 [0.581, 0.858];0.186 [0.131, 0.274];-0.118 [-0.195, -0.056];0.01;-
