LC_R2_null;LC_R2_env;LC_Q;LC_pQ;LC_BF
0.934 [0.872, 0.983];0.327 [0.136, 0.506];-0.607 [-0.821, -0.437];0;0
0.934 [0.873, 0.982];0.332 [0.161, 0.513];-0.603 [-0.797, -0.423];0;0
0.922 [0.829, 0.981];0.323 [0.176, 0.503];-0.599 [-0.787, -0.423];0;0
0.938 [0.869, 0.982];0.306 [0.152, 0.496];-0.632 [-0.799, -0.444];0;0
0.941 [0.875, 0.985];0.454 [0.183, 0.823];-0.487 [-0.78, -0.114];0.01;0
0.945 [0.861, 0.988];0.463 [0.18, 0.837];-0.483 [-0.807, -0.147];0;0
0.919 [0.843, 0.977];0.301 [0.146, 0.462];-0.618 [-0.768, -0.419];0;0
0.923 [0.839, 0.979];0.298 [0.107, 0.466];-0.625 [-0.833, -0.427];0;0
0.808 [0.537, 0.978];0.363 [0.042, 0.733];-0.446 [-0.842, -0.012];0.03;0
0.939 [0.881, 0.985];0.347 [0.141, 0.582];-0.592 [-0.813, -0.351];0;0
