CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.527 [0.373, 0.695];0.575 [0.368, 0.757];0.048 [-0.196, 0.297];0.66;1.9
0.501 [0.364, 0.624];0.554 [0.388, 0.723];0.052 [-0.172, 0.275];0.69;2.2
0.508 [0.345, 0.669];0.514 [0.334, 0.689];0.006 [-0.225, 0.252];0.5;1
0.516 [0.353, 0.665];0.533 [0.347, 0.722];0.017 [-0.213, 0.272];0.54;1.2
0.56 [0.386, 0.729];0.569 [0.292, 0.855];0.009 [-0.385, 0.343];0.53;1.1
0.558 [0.369, 0.737];0.565 [0.224, 0.887];0.008 [-0.382, 0.449];0.51;1.1
0.474 [0.337, 0.605];0.473 [0.318, 0.644];-0.001 [-0.233, 0.202];0.48;0.9
0.543 [0.351, 0.682];0.548 [0.371, 0.733];0.005 [-0.254, 0.256];0.5;1
0.407 [0.208, 0.645];0.406 [0.138, 0.654];-0.001 [-0.353, 0.33];0.5;1
0.534 [0.362, 0.71];0.52 [0.321, 0.778];-0.014 [-0.31, 0.285];0.46;0.9
