LC_LR2_beta_env;LC_LR2_R2_env;LC_LR2_Q;LC_LR2_pQ;LC_LR2_BF
0.004 [0.003, 0.005];0.373 [0.238, 0.567];-0.584 [-0.712, -0.41];0;-
0.004 [0.003, 0.005];0.362 [0.179, 0.508];-0.591 [-0.73, -0.422];0;-
0.003 [0.002, 0.004];0.342 [0.179, 0.566];-0.598 [-0.743, -0.414];0;-
0.003 [0.002, 0.005];0.323 [0.169, 0.523];-0.624 [-0.78, -0.452];0;-
0.003 [0.002, 0.005];0.496 [0.215, 0.885];-0.452 [-0.719, -0.069];0.01;-
0.004 [0.002, 0.005];0.492 [0.23, 0.826];-0.46 [-0.663, -0.127];0;-
0.003 [0.002, 0.004];0.336 [0.237, 0.501];-0.612 [-0.719, -0.467];0;-
0.003 [0.002, 0.005];0.341 [0.191, 0.58];-0.599 [-0.738, -0.343];0;-
0.003 [0.001, 0.005];0.493 [0.186, 0.823];-0.295 [-0.726, 0.003];0.05;-
0.004 [0.002, 0.009];0.337 [0.088, 0.681];-0.464 [-0.745, -0.017];0.01;-
